SKU,Amazon Sync (Na) FNSKU,Shop Elan Amazon (Na) FNSKU,UPC,Title,Primary Supplier,Brand,Available Quantity,On Hand,Pending (Ready to Ship),Pending (Payment),Reserve,Hold Quantity,Client
LDS-900-34SLBT-3X,,,7.84E+11,LADIES 3/4 SLEEVE PRINTED KNIT SHIRT,JIUDINE,LDS-900-3/4SLV,0,0,0,0,0,0,
LDS-901-SS-S,,,7.84E+11,LADIES SHORT SLEEVE PRINTED KNIT,JIUDINE,LDS-901-SS,0,0,0,0,0,0,
LDS-901-SS-M,,,7.84E+11,LADIES SHORT SLEEVE PRINTED KNIT,JIUDINE,LDS-901-SS,0,0,0,0,0,0,
LDS-901-SS-L,,,7.84E+11,LADIES SHORT SLEEVE PRINTED KNIT,JIUDINE,LDS-901-SS,0,0,0,0,0,0,
LDS-901-SS-XL,,,7.84E+11,LADIES SHORT SLEEVE PRINTED KNIT,JIUDINE,LDS-901-SS,0,0,0,0,0,0,
LDS-901-SS-XXL,,,7.84E+11,LADIES SHORT SLEEVE PRINTED KNIT,JIUDINE,LDS-901-SS,1,1,0,0,0,0,
LDS-901-SS-3X,,,7.84E+11,LADIES SHORT SLEEVE PRINTED KNIT,JIUDINE,LDS-901-SS,0,0,0,0,0,0,
LDS-901-3/4SLV-S,B078J25VMJ,,7.84E+11,LADIES 3/4 SLEEVE PRINTED KNIT SHIRT,JIUDINE,LDS-901-3/4SLV,0,0,0,0,0,0,
LDS-901-34SLV-M,B078J5BL9Q,,7.84E+11,LADIES 3/4 SLEEVE PRINTED KNIT SHIRT,JIUDINE,LDS-901-3/4SLV,0,0,0,0,0,0,
LDS-901-34SLV-L,B078HZCC8P,,7.84E+11,LADIES 3/4 SLEEVE PRINTED KNIT SHIRT,JIUDINE,LDS-901-3/4SLV,0,0,0,0,0,0,
LDS-901-34SLV-XL,B078JG2KKW,,7.84E+11,LADIES 3/4 SLEEVE PRINTED KNIT SHIRT,JIUDINE,LDS-901-3/4SLV,0,0,0,0,0,0,
LDS-901-34SLV-XXL,B078J2CQRM,,7.84E+11,LADIES 3/4 SLEEVE PRINTED KNIT SHIRT,JIUDINE,LDS-901-3/4SLV,0,0,0,0,0,0,
LDS-901-3/4SLBT-3X,B078J5BLJL,,7.84E+11,LADIES 3/4 SLEEVE PRINTED KNIT SHIRT,JIUDINE,LDS-901-3/4SLV,0,0,0,0,0,0,
MSWJAN-BBBT-4X,,,7.84E+11,SPJane American Flag Hoodie-4X,GSM,MSWJAN,21,21,0,0,0,0,
MSWJAN-BBBT-2XLT,,,7.84E+11,SPJane American Flag Hoodie-2XLT,GSM,MSWJAN,0,0,0,0,0,0,
MSWJAN-BBBT-3XLT,,,7.84E+11,SPJane American Flag Hoodie-3XLT,GSM,MSWJAN,0,0,0,0,0,0,
MSWJAN-BBBT-5X,,,7.84E+11,SPJane American Flag Hoodie-5X,GSM,MSWJAN,18,18,0,0,0,0,
PULLOVER-FLG-S,B07BHW3RXY,,7.84E+11,1/4 ZIP FLAG PULLOVER JACKET,JIUDINE,PULLOVER-FLG,29,29,0,0,0,0,
PULLOVER-FLG-M,B07BHW253Y,,7.84E+11,1/4 ZIP FLAG PULLOVER JACKET,JIUDINE,PULLOVER-FLG,55,55,0,0,0,0,
PULLOVER-FLG-L,B07BHVPM8X,,7.84E+11,1/4 ZIP FLAG PULLOVER JACKET,JIUDINE,PULLOVER-FLG,51,51,0,0,0,0,
PULLOVER-FLG-XL,B07BHW4JKW,,7.84E+11,1/4 ZIP FLAG PULLOVER JACKET,JIUDINE,PULLOVER-FLG,108,108,0,0,0,0,
PULLOVER-FLG-XXL,B07BHWY6G3,,7.84E+11,1/4 ZIP FLAG PULLOVER JACKET,JIUDINE,PULLOVER-FLG,68,68,0,0,0,0,
PULLOVER-FLG-3X,B07BHVGZ12,,7.84E+11,1/4 ZIP FLAG PULLOVER JACKET,JIUDINE,PULLOVER-FLG,32,32,0,0,0,0,
HOODIE-FLG-S,X001QEMJGX,,7.84E+11,FULL ZIPPER FLAG HOODIE JACKET,JIUDINE,HOODIE-FLG,33,33,0,0,0,0,
HOODIE-FLG-M,X001QC5ZZR,,7.84E+11,FULL ZIPPER FLAG HOODIE JACKET,JIUDINE,HOODIE-FLG,51,51,0,0,0,0,
HOODIE-FLG-L,X001QBFR9R,,7.84E+11,FULL ZIPPER FLAG HOODIE JACKET,JIUDINE,HOODIE-FLG,46,46,0,0,0,0,
HOODIE-FLG-XL,X001QEMJH7,,7.84E+11,FULL ZIPPER FLAG HOODIE JACKET,JIUDINE,HOODIE-FLG,72,72,0,0,0,0,
HOODIE-FLG-XXL,X001QBMM4F,,7.84E+11,FULL ZIPPER FLAG HOODIE JACKET,JIUDINE,HOODIE-FLG,63,63,0,0,0,0,
HOODIE-FLG-3X,X001QC4FCB,,7.84E+11,FULL ZIPPER FLAG HOODIE JACKET,JIUDINE,HOODIE-FLG,29,29,0,0,0,0,
WSY-17W985,,,4068737938,LADIES CAPE,Unknown,WSY-17,0,0,0,0,0,0,
WSY-17W15,,,4068737939,LADIES AMERICAN PULLOVER RUANA,Unknown,WSY-17,0,0,0,0,0,0,
BL3800-520-BLACK-M,,,4068737940,Irvine Park Men's Silk Shirt - Black,GSM,BL3800-520,4,4,0,0,0,0,
BL3800-520-BLACK-L,,,4068737941,Irvine Park Men's Silk Shirt - Black,GSM,BL3800-520,23,23,0,0,0,0,
BL3800-520-BLACK-XL,,,4068737942,Irvine Park Men's Silk Shirt - Black,GSM,BL3800-520,30,30,0,0,0,0,
BL3800-520BT-Black-2XL,,,4068737943,Irvine Park Men's Silk Shirt - Big and Tall - Black,GSM,BL3800-520,24,24,0,0,0,0,
BL3800-520BT-Black-3XL,,,4068737944,Irvine Park Men's Silk Shirt - Big and Tall - Black,GSM,BL3800-520,1,1,0,0,0,0,
BL3800-520BT-Black-4XL,,,4068737945,Irvine Park Men's Silk Shirt - Big and Tall - Black,GSM,BL3800-520,9,9,0,0,0,0,
BL3800-520-TAUPE-M,,,4068737946,Irvine Park Men's Silk Shirt - Taupe,GSM,BL3800-520,1,1,0,0,0,0,
BL3800-520-TAUPE-L,,,4068737947,Irvine Park Men's Silk Shirt - Taupe,GSM,BL3800-520,15,15,0,0,0,0,
BL3800-520-TAUPE-XL,,,4068737948,Irvine Park Men's Silk Shirt - Taupe,GSM,BL3800-520,14,14,0,0,0,0,
BL3800-520-TAUPE-XXL,,,4068737949,Irvine Park Men's Silk Shirt - Taupe,GSM,BL3800-520,16,16,0,0,0,0,
BL3800-520BT-Taupe-3XL,,,4068737950,Irvine Park Men's Silk Shirt - Big and Tall - Taupe,GSM,BL3800-520,33,33,0,0,0,0,
BL3800-520BT-Taupe-4XL,,,4068737951,Irvine Park Men's Silk Shirt - Big and Tall - Taupe,GSM,BL3800-520,1,1,0,0,0,0,
6198-115-0002,,,4068748822,Safe Harbor French Terry Long Sleeve Banded Bottom Shirt - 6198-115 Taupe - L,LD,6198-115-TAUPE,0,0,0,0,0,0,
6030-200BT-NAVY-6XL,,,7.84E+11,Big and Tall Palmland S/S 4 pocket Woven Banded Bottom Shirt - 6030-200BT,Stylux,6030-200BT,8,8,0,0,0,0,
5800-910B-BLACKB-XXL,,,7.84E+11,Men's Scandia Woods Quarter-Zip Sweater - Black,GSM,5800-910B,0,0,0,0,0,0,
5800-910BBT-BLACKB-3XL,,,7.84E+11,Men's Scandia Woods Quarter-Zip Sweater - Black Big and Tall,GSM,5800-910B,0,0,0,0,0,0,
5800-910B-BlueB-XXL,,,7.84E+11,Men's Scandia Woods Quarter-Zip Sweater - Blue,GSM,5800-910B,0,0,0,0,0,0,
5800-910BBT-BlueB-3XL,,,7.84E+11,Men's Scandia Woods Quarter-Zip Sweater - Blue Big and Tall,GSM,5800-910B,0,0,0,0,0,0,
9519ST-12S,,,4068748828,Knit Fleece Wrap & Glove Set - Red,NANTONG,9519ST-12S,6,6,0,0,0,0,
9142ST-401S-BLACK,B07HKNCMQF,,7.84E+11,Emily Sherpa Trimmed Cozy Coat and Glove Set,NANTONG,4817ST-401S,586,586,0,0,0,0,
6094-700BT-DBLUE-2XL,,,7.84E+11,LD Sport Solid Textured Long Sleeve Banded Bottom Shirt 6094-700 Big and Tall -D blue,Stylux,6094-700,0,0,0,0,0,0,
6094-700BT-DBLUE-3XL,,,7.84E+11,LD Sport Solid Textured Long Sleeve Banded Bottom Shirt 6094-700 Big and Tall -D blue,Stylux,6094-700,0,0,0,0,0,0,
6094-700BT-DBLUE-4XL,,,7.84E+11,LD Sport Solid Textured Long Sleeve Banded Bottom Shirt 6094-700 Big and Tall -D blue,Stylux,6094-700,0,0,0,0,0,0,
6094-700BT-DBLUE-5XL,,,7.84E+11,LD Sport Solid Textured Long Sleeve Banded Bottom Shirt 6094-700 Big and Tall -D blue,Stylux,6094-700,2,2,0,0,0,0,
6094-700BT-DBLUE-6XL,,,7.84E+11,LD Sport Solid Textured Long Sleeve Banded Bottom Shirt 6094-700 Big and Tall -D blue,Stylux,6094-700,3,3,0,0,0,0,
6094-700BT-DBLUE-XLT,,,7.84E+11,LD Sport Solid Textured Long Sleeve Banded Bottom Shirt 6094-700 Big and Tall -D blue,Stylux,6094-700,0,0,0,0,0,0,
6094-700BT-DBLUE-2XLT,,,7.84E+11,LD Sport Solid Textured Long Sleeve Banded Bottom Shirt 6094-700 Big and Tall -D blue,Stylux,6094-700,0,0,0,0,0,0,
6094-700BT-DBLUE-3XLT,,,7.84E+11,LD Sport Solid Textured Long Sleeve Banded Bottom Shirt 6094-700 Big and Tall -D blue,Stylux,6094-700,0,0,0,0,0,0,
6094-700BT-DBLUE-4XLT,,,7.84E+11,LD Sport Solid Textured Long Sleeve Banded Bottom Shirt 6094-700 Big and Tall -D blue,Stylux,6094-700,3,3,0,0,0,0,
6094-700BT-DBLUE-5XLT,,,7.84E+11,LD Sport Solid Textured Long Sleeve Banded Bottom Shirt 6094-700 Big and Tall -D blue,Stylux,6094-700,0,0,0,0,0,0,
6094-700BT-DBLUE-6XLT,,,7.84E+11,LD Sport Solid Textured Long Sleeve Banded Bottom Shirt 6094-700 Big and Tall -D blue,Stylux,6094-700,3,3,0,0,0,0,
6800-500-CHAR-M,,,4068778472,Cellinni Mock Turtleneck Sweater,LD,6800-500,0,0,0,0,0,0,
6800-500-CHAR-XL,,,4068778473,Cellinni Mock Turtleneck Sweater,LD,6800-500,0,0,0,0,0,0,
6010-656BT-Marine-3XLT,,,4068778474,Short Sleeve Horizontal Pieced Knit Banded Bottom,Stylux,6010-656BT,11,11,0,0,0,0,
6198-105-NAVY-S,,,4068996798,LD Sport Allover Long Sleeve Banded Bottom Shirt 6198-105 Navy,LD,6198-105-NAVY,0,0,0,0,0,0,
6198-108-BROWN-S,,,4068996799,Safe Harbor Allover Long Sleeve Banded Bottom Shirt 6198-108-Brown,LD,6198-108-BROWN,0,0,0,0,0,0,
6198-109-BURG-S,,,4068996800,LD Sport Allover Long Sleeve Banded Bottom Shirt 6198-109 Burgundy,LD,6198-109BT,0,0,0,0,0,0,
6198-210-BURG-S,,,4068996801,Classics by Palmland Horizontal Stripes Long Sleeve  6198-210,LD,6198-210-BURG,0,0,0,0,0,0,
6198-102-HUNTER-S,,,4068996802,Classics by Palmland Long Sleeve Banded Bottom Shirt 6198-213 Hunter - Small,LD,6198-102-HUNTER,0,0,0,0,0,0,
6198-117BLACK-S,,,4068996803,Classics By Palmland Allover Long Sleeve Banded Bottom 6198-117 Black,LD,6198-117-BLACK,0,0,0,0,0,0,
6198-109BT-BURG-2XL,,,4068996804,LD Sport Allover Long Sleeve Banded Bottom Shirt 6198-109BT Burgundy,LD,6198-109BT,0,0,0,0,0,0,
6198-109BT-BURG-3XL,,,4068996805,LD Sport Allover Long Sleeve Banded Bottom Shirt 6198-109BT Burgundy,LD,6198-109BT,0,0,0,0,0,0,
6198-109BT-BURG-4XL,,,4068996806,LD Sport Allover Long Sleeve Banded Bottom Shirt 6198-109BT Burgundy,LD,6198-109BT,0,0,0,0,0,0,
6198-109BT-BURG-LT,,,4068996807,LD Sport Allover Long Sleeve Banded Bottom Shirt 6198-109BT Burgundy,LD,6198-109BT,0,0,0,0,0,0,
6198-109BT-BURG-XLT,,,4068996808,LD Sport Allover Long Sleeve Banded Bottom Shirt 6198-109BT Burgundy,LD,6198-109BT,0,0,0,0,0,0,
6198-109BT-BURG-2XLT,,,4068996809,LD Sport Allover Long Sleeve Banded Bottom Shirt 6198-109BT Burgundy,LD,6198-109BT,0,0,0,0,0,0,
6198-109BT-BURG-3XLT,,,4068996810,LD Sport Allover Long Sleeve Banded Bottom Shirt 6198-109BT Burgundy,LD,6198-109BT,0,0,0,0,0,0,
6198-210BT-BURG-2XL,,,4068996811,Classics by Palmland Horizontal Stripes Long Sleeve  6198-210BT,LD,6198-210-BURG,9,9,0,0,0,0,
6198-210BT-BURG-3XL,,,4068996812,Classics by Palmland Horizontal Stripes Long Sleeve  6198-210BT,LD,6198-210-BURG,6,6,0,0,0,0,
6198-210BT-BURG-4XL,,,4068996813,Classics by Palmland Horizontal Stripes Long Sleeve  6198-210BT,LD,6198-210-BURG,8,8,0,0,0,0,
6198-210BT-BURG-LT,,,4068996814,Classics by Palmland Horizontal Stripes Long Sleeve  6198-210BT,LD,6198-210-BURG,0,0,0,0,0,0,
6198-210BT-BURG-XLT,,,4068996815,Classics by Palmland Horizontal Stripes Long Sleeve  6198-210BT,LD,6198-210-BURG,1,1,0,0,0,0,
6198-210BT-BURG-2XLT,,,4068996816,Classics by Palmland Horizontal Stripes Long Sleeve  6198-210BT,LD,6198-210-BURG,1,1,0,0,0,0,
6198-210BT-BURG-3XLT,,,4068996817,Classics by Palmland Horizontal Stripes Long Sleeve  6198-210BT,LD,6198-210-BURG,1,1,0,0,0,0,
6198-117BT-BLACK-2XL,,,4068996818,Classics By Palmland Allover Long Sleeve Banded Bottom 6198-117BT Black,LD,6198-117-BLACK,0,0,0,0,0,0,
6198-117BT-BLACK-3XL,,,4068996819,Classics By Palmland Allover Long Sleeve Banded Bottom 6198-117BT Black,LD,6198-117-BLACK,0,0,0,0,0,0,
6198-117BT-BLACK-4XL,,,4068996820,Classics By Palmland Allover Long Sleeve Banded Bottom 6198-117BT Black,LD,6198-117-BLACK,1,1,0,0,0,0,
6198-117BT-BLACK-LT,,,4068996821,Classics By Palmland Allover Long Sleeve Banded Bottom 6198-117BT Black,LD,6198-117-BLACK,0,0,0,0,0,0,
6198-117BT-BLACK-2XLT,,,4068996822,Classics By Palmland Allover Long Sleeve Banded Bottom 6198-117BT Black,LD,6198-117-BLACK,2,2,0,0,0,0,
6198-117BT-BLACK-3XLT,,,4068996823,Classics By Palmland Allover Long Sleeve Banded Bottom 6198-117BT Black,LD,6198-117-BLACK,0,0,0,0,0,0,
2918-238-GREY,,,4068996824,LADIES FASHION  FLEECE CAPE ONE SIZE - GREY,NANTONG,2918-238,0,0,0,0,0,0,
6094-471BT-MOCHA-2XLT,,,7.84E+11,Safe Harbor Allover Long Sleeve Banded Bottom Shirt - 6094-471BT - Mocha,LD,6094-471-MOCHA,0,0,0,0,0,0,
6400-450-BLACK-XLT,,,4068996826,L/S Fleece Crewneck,LD,6400-Sweater,0,0,0,0,0,0,
6400-450BT-GREYHT-4XL,,,4068996827,L/S Fleece Crewneck,LD,6400-Sweater,0,0,0,0,0,0,
6400-450BT-GREYHT-3XLT,,,4068996828,L/S Fleece Crewneck,LD,6400-Sweater,0,0,0,0,0,0,
6400-450BT-GREYHT-4XLT,,,4068996829,L/S Fleece Crewneck,LD,6400-Sweater,3,3,0,0,0,0,
6400-450-BURG-XXL,,,4068996830,L/S Fleece Crewneck,LD,6400-Sweater,0,0,0,0,0,0,
6400-450BT-BURG-4XL,,,4068996831,L/S Fleece Crewneck,LD,6400-Sweater,0,0,0,0,0,0,
6400-450BT-BURG-2XLT,,,4068996832,L/S Fleece Crewneck,LD,6400-Sweater,3,3,0,0,0,0,
6400-450BT-BURG-3XLT,,,4068996833,L/S Fleece Crewneck,LD,6400-Sweater,1,1,0,0,0,0,
6400-450BT-BURG-4XLT,,,4068996834,L/S Fleece Crewneck,LD,6400-Sweater,3,3,0,0,0,0,
6400-452-GREYHT-XXL,,,4068996835,L/S Full Zipper Fleece Drawstring Hoodie,LD,6400-Sweater,0,0,0,0,0,0,
6400-452BT-GREYHT-2XL,,,4068996836,L/S Full Zipper Fleece Drawstring Hoodie,LD,6400-Sweater,0,0,0,0,0,0,
6400-452BT-GREYHT-XLT,,,4068996837,L/S Full Zipper Fleece Drawstring Hoodie,LD,6400-Sweater,2,2,0,0,0,0,
6400-452BT-GREYHT-2XLT,,,4068996838,L/S Full Zipper Fleece Drawstring Hoodie,LD,6400-Sweater,0,0,0,0,0,0,
6400-452BT-GREYHT-3XLT,,,4068996839,L/S Full Zipper Fleece Drawstring Hoodie,LD,6400-Sweater,0,0,0,0,0,0,
6400-452BT-GREYHT-4XLT,,,4068996840,L/S Full Zipper Fleece Drawstring Hoodie,LD,6400-Sweater,0,0,0,0,0,0,
6400-452-BURG-M,,,4068996841,L/S Full Zipper Fleece Drawstring Hoodie,LD,6400-Sweater,0,0,0,0,0,0,
6400-452-BURG-XL,,,4068996842,L/S Full Zipper Fleece Drawstring Hoodie,LD,6400-Sweater,0,0,0,0,0,0,
6400-452-BURG-XXL,,,4068996843,L/S Full Zipper Fleece Drawstring Hoodie,LD,6400-Sweater,0,0,0,0,0,0,
6400-452BT-BURG-2XL,,,4068996844,L/S Full Zipper Fleece Drawstring Hoodie,LD,6400-Sweater,1,1,0,0,0,0,
6400-452BT-BURG-XLT,,,4068996845,L/S Full Zipper Fleece Drawstring Hoodie,LD,6400-Sweater,2,2,0,0,0,0,
6400-452BT-BURG-2XLT,,,4068996846,L/S Full Zipper Fleece Drawstring Hoodie,LD,6400-Sweater,0,0,0,0,0,0,
6400-452BT-BURG-4XLT,,,4068996847,L/S Full Zipper Fleece Drawstring Hoodie,LD,6400-Sweater,0,0,0,0,0,0,
6400-452-BLACK-XXL,,,4068996848,L/S Full Zipper Fleece Drawstring Hoodie,LD,6400-Sweater,0,0,0,0,0,0,
6400-452BT-BLACK-XLT,,,4068996849,L/S Full Zipper Fleece Drawstring Hoodie,LD,6400-Sweater,0,0,0,0,0,0,
6400-452BT-BLACK-2XLT,,,4068996850,L/S Full Zipper Fleece Drawstring Hoodie,LD,6400-Sweater,0,0,0,0,0,0,
6400-452BT-BLACK-4XLT,,,4068996851,L/S Full Zipper Fleece Drawstring Hoodie,LD,6400-Sweater,0,0,0,0,0,0,
6400-453-GREY-XL,,,4068996852,Full Elastic Pull on Fleece Pant,LD,6400-Sweater,0,0,0,0,0,0,
6400-453-BURG-M,,,4068996853,Full Elastic Pull on Fleece Pant,LD,6400-Sweater,2,2,0,0,0,0,
6400-453-BURG-L,,,4068996854,Full Elastic Pull on Fleece Pant,LD,6400-Sweater,0,0,0,0,0,0,
6400-453-BURG-XL,,,4068996855,Full Elastic Pull on Fleece Pant,LD,6400-Sweater,4,4,0,0,0,0,
6400-453-BURG-XXL,,,4068996856,Full Elastic Pull on Fleece Pant,LD,6400-Sweater,8,8,0,0,0,0,
6400-453BT-BURG-1XL,,,4068996857,Full Elastic Pull on Fleece Pant,LD,6400-Sweater,3,3,0,0,0,0,
6400-453BT-BURG-2XL,,,4068996859,Full Elastic Pull on Fleece Pant,LD,6400-Sweater,2,2,0,0,0,0,
6400-453BT-BURG-3XL,,,4068996861,Full Elastic Pull on Fleece Pant,LD,6400-Sweater,3,3,0,0,0,0,
6400-453BT-BURG-4XL,,,4068996863,Full Elastic Pull on Fleece Pant,LD,6400-Sweater,1,1,0,0,0,0,
6400-453-BLACK-1XL,,,4068996865,Full Elastic Pull on Fleece Pant,LD,6400-Sweater,0,0,0,0,0,0,
7200-605-BANANA-M,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater - Banana,LD,7200-605,0,0,0,0,0,0,
7200-605-BANANA-L,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater - Banana,LD,7200-605,0,0,0,0,0,0,
7200-605-BANANA-XL,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater - Banana,LD,7200-605,1,1,0,0,0,0,
7200-605-BANANA-XXL,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater - Banana,LD,7200-605,2,2,0,0,0,0,
7200-605BT-BANANA-2XL,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall - Banana,LD,7200-605,0,0,0,0,0,0,
7200-605BT-BANANA-3XL,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall - Banana,LD,7200-605,0,0,0,0,0,0,
7200-605BT-BANANA-4XL,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall - Banana,LD,7200-605,3,3,0,0,0,0,
7200-605BT-BANANA-XLT,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall - Banana,LD,7200-605,0,0,0,0,0,0,
7200-605BT-BANANA-2XLT,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall - Banana,LD,7200-605,0,0,0,0,0,0,
7200-605BT-BANANA-3XLT,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall - Banana,LD,7200-605,0,0,0,0,0,0,
7200-605-BLUE-M,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater - Blue,LD,7200-605,0,0,0,0,0,0,
7200-605-BLUE-XL,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater - Blue,LD,7200-605,0,0,0,0,0,0,
7200-605-BLUE-XXL,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater - Blue,LD,7200-605,0,0,0,0,0,0,
7200-605BT-BLUE-3XL,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall - Blue,LD,7200-605,0,0,0,0,0,0,
7200-605BT-BLUE-XLT,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall - Blue,LD,7200-605,2,2,0,0,0,0,
7200-605BT-BLUE-2XLT,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall - Blue,LD,7200-605,0,0,0,0,0,0,
7200-605BT-BLUE-4XLT,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall - Blue,LD,7200-605,0,0,0,0,0,0,
7200-605-GUAVA-M,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater - Guava,LD,7200-605,0,0,0,0,0,0,
7200-605-GUAVA-L,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater - Guava,LD,7200-605,0,0,0,0,0,0,
7200-605-GUAVA-XL,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater - Guava,LD,7200-605,0,0,0,0,0,0,
7200-605-GUAVA-XXL,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater - Guava,LD,7200-605,0,0,0,0,0,0,
7200-605BT-GUAVA-3XL,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall - Guava,LD,7200-605,0,0,0,0,0,0,
7200-605BT-GUAVA-4XL,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall - Guava,LD,7200-605,0,0,0,0,0,0,
7200-605BT-GUAVA-XLT,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall - Guava,LD,7200-605,0,0,0,0,0,0,
7200-605BT-GUAVA-2XLT,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall - Guava,LD,7200-605,0,0,0,0,0,0,
7200-605-MANGO-M,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall - Guava,LD,7200-605,0,0,0,0,0,0,
7200-605-MANGO-L,,,4068996896,Biscayne Bay L/S Solid Rib Knit Sweater - Mango,LD,7200-605,0,0,0,0,0,0,
7200-605-MANGO-XL,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater - Mango,LD,7200-605,0,0,0,0,0,0,
7200-605-MANGO-XXL,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater - Mango,LD,7200-605,0,0,0,0,0,0,
7200-605BT-MANGO-2XL,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater - Mango,LD,7200-605,0,0,0,0,0,0,
7200-605BT-MANGO-4XL,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall - Mango,LD,7200-605,0,0,0,0,0,0,
7200-605BT-MANGO-XLT,,,4068996901,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall - Mango,LD,7200-605,0,0,0,0,0,0,
7200-605BT-MANGO-2XLT,,,4068996902,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall - Mango,LD,7200-605,0,0,0,0,0,0,
7200-605BT-MANGO-3XLT,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall - Mango,LD,7200-605,0,0,0,0,0,0,
7200-605-TEAL-L,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater -Teal,LD,7200-605,0,0,0,0,0,0,
7200-605-TEAL-XL,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater -Teal,LD,7200-605,0,0,0,0,0,0,
7200-605-TEAL-XXL,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater -Teal,LD,7200-605,0,0,0,0,0,0,
7200-605BT-TEAL-4XL,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall -Teal,LD,7200-605,0,0,0,0,0,0,
7200-605BT-TEAL-LT,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall -Teal,LD,7200-605,0,0,0,0,0,0,
7200-605BT-TEAL-XLT,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall -Teal,LD,7200-605,5,5,0,0,0,0,
7200-605BT-TEAL-2XLT,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall -Teal,LD,7200-605,0,0,0,0,0,0,
7200-605BT-TEAL-3XLT,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall -Teal,LD,7200-605,0,0,0,0,0,0,
7200-605BT-TEAL-4XLT,,,7.84E+11,Biscayne Bay L/S Solid Rib Knit Sweater Big and Tall -Teal,LD,7200-605,0,0,0,0,0,0,
2800-OX-PLUM-M,,,4069096983,L/S Solid Button Down Oxford Shirt - plum,LD,2800-OX,0,0,0,0,0,0,
2800-OX-PLUM-L,,,4069096984,L/S Solid Button Down Oxford Shirt - plum,LD,2800-OX,0,0,0,0,0,0,
2800-OX-PLUM-XL,,,4069096985,L/S Solid Button Down Oxford Shirt - plum,LD,2800-OX,0,0,0,0,0,0,
2800-OX-PLUM-XXL,,,4069096986,L/S Solid Button Down Oxford Shirt - plum,LD,2800-OX,0,0,0,0,0,0,
2800-OX-PLUM-3XL,,,4069096987,L/S Solid Button Down Oxford Shirt - plum,LD,2800-OX,0,0,0,0,0,0,
2800-OX-PLUM-XLT,,,4069096988,L/S Solid Button Down Oxford Shirt - plum,LD,2800-OX,0,0,0,0,0,0,
2800-OX-PLUM-2XLT,,,4069096989,L/S Solid Button Down Oxford Shirt - plum,LD,2800-OX,0,0,0,0,0,0,
2800-OX-PLUM-3XLT,,,4069096990,L/S Solid Button Down Oxford Shirt - plum,LD,2800-OX,0,0,0,0,0,0,
2800-OX-PLUM-4XLT,,,4069096991,L/S Solid Button Down Oxford Shirt - plum,LD,2800-OX,0,0,0,0,0,0,
2800-OX-MELON-M,,,4069096992,L/S Solid Button Down Oxford Shirt - Melon,LD,2800-OX,0,0,0,0,0,0,
