SKU,Amazon Sync (Na) FNSKU,Shop Elan Amazon (Na) FNSKU,UPC,Title,Primary Supplier,Brand,Available Quantity,On Hand,Pending (Ready to Ship),Pending (Payment),Reserve,Hold Quantity,Client
6010-662-BLACK-L,,,4030707169,6010-662-BLACK-L,LD,6010-662-BLACK,0,0,0,0,0,0,
6010-662-BLACK-XL,,,4030707170,6010-662-BLACK-XL,LD,6010-662-BLACK,0,0,0,0,0,0,
6010-656-BLACK-M,,,7.84E+11,Short Sleeve Horizontal Pieced Knit Banded Bottom,Stylux,6010,34,34,0,0,0,0,
6010-656-BLACK-L,,,7.84E+11,Short Sleeve Horizontal Pieced Knit Banded Bottom,Stylux,6010,144,144,0,0,0,0,
6010-656-BLACK-XL,,,7.84E+11,Short Sleeve Horizontal Pieced Knit Banded Bottom,Stylux,6010,192,192,0,0,0,0,
6010-656-BLACK-XXL,,,7.84E+11,Short Sleeve Horizontal Pieced Knit Banded Bottom,Stylux,6010,114,114,0,0,0,0,
6010-656-NAVY-M,,,7.84E+11,6010-656-NAVY-M,LD,6010-656-NAVY,63,63,0,0,0,0,
6010-656-NAVY-L,,,7.84E+11,6010-656-NAVY-L,LD,6010-656-NAVY,131,131,0,0,0,0,
6010-656-NAVY-XL,,,7.84E+11,6010-656-NAVY-XL,LD,6010-656-NAVY,169,169,0,0,0,0,
6010-656-NAVY-XXL,,,7.84E+11,6010-656-NAVY-XXL,LD,6010-656-NAVY,128,128,0,0,0,0,
6010-656-LT-BLUE-M,,,7.84E+11,6010-656-LT. BLUE-M,LD,6010-656-LT. BLUE,74,74,0,0,0,0,
6010-656-LT-BLUE-L,,,7.84E+11,6010-656-LT. BLUE-L,LD,6010-656-LT. BLUE,200,200,0,0,0,0,
6010-656-LT-BLUE-XL,,,7.84E+11,6010-656-LT. BLUE-XL,LD,6010-656-LT. BLUE,238,238,0,0,0,0,
6010-656-LT-BLUE-XXL,,,7.84E+11,6010-656-LT. BLUE-XXL,LD,6010-656-LT. BLUE,113,113,0,0,0,0,
6010-656-MARINE-M,,,7.84E+11,6010-656-MARINE-M,LD,6010-656-MARINE,64,64,0,0,0,0,
6010-656-MARINE-L,,,7.84E+11,6010-656-MARINE-L,LD,6010-656-MARINE,121,121,0,0,0,0,
6010-656-MARINE-XL,,,7.84E+11,6010-656-MARINE-XL,LD,6010-656-MARINE,83,83,0,0,0,0,
6010-656-MARINE-XXL,,,7.84E+11,6010-656-MARINE-XXL,LD,6010-656-MARINE,115,115,0,0,0,0,
6010-656Burg-S,,,4030707191,6010-656-BURGUNDY-S,LD,6010-656-BURGUNDY,1,1,0,0,0,0,
6010-656-BURGUNDY-M,,,7.84E+11,6010-656-BURGUNDY-M,LD,6010-656-BURGUNDY,23,24,0,0,1,0,
6010-656-BURGUNDY-L,,,7.84E+11,6010-656-BURGUNDY-L,LD,6010-656-BURGUNDY,143,143,0,0,0,0,
6010-656-BURGUNDY-XL,,,7.84E+11,6010-656-BURGUNDY-XL,LD,6010-656-BURGUNDY,84,84,0,0,0,0,
6010-656-BURGUNDY-XXL,,,7.84E+11,6010-656-BURGUNDY-XXL,LD,6010-656-BURGUNDY,64,64,0,0,0,0,
6010-656-TAUPE-M,,,7.84E+11,6010-656-TAUPE-M,LD,6010-656-TAUPE,12,12,0,0,0,0,
6010-656-TAUPE-L,,,7.84E+11,6010-656-TAUPE-L,LD,6010-656-TAUPE,128,128,0,0,0,0,
6010-656-TAUPE-XL,,,7.84E+11,6010-656-TAUPE-XL,LD,6010-656-TAUPE,182,182,0,0,0,0,
6010-656-TAUPE-XXL,,,7.84E+11,6010-656-TAUPE-XXL,LD,6010-656-TAUPE,89,89,0,0,0,0,
6010-656White-S,,,4030707200,6010-656-WHITE-S,LD,6010-656-WHITE,0,0,0,0,0,0,
6010-656-WHITE-M,,,7.84E+11,6010-656-WHITE-M,LD,6010-656-WHITE,0,0,0,0,0,0,
6010-656-WHITE-L,,,7.84E+11,6010-656-WHITE-L,LD,6010-656-WHITE,24,24,0,0,0,0,
6010-656-WHITE-XL,,,7.84E+11,6010-656-WHITE-XL,LD,6010-656-WHITE,162,162,0,0,0,0,
6010-656-WHITE-XXL,,,7.84E+11,6010-656-WHITE-XXL,LD,6010-656-WHITE,48,48,0,0,0,0,
6010-656-NATURAL-M,,,4030707205,6010-656-NATURAL-M,LD,6010-656-NATURAL,0,0,0,0,0,0,
6010-656-NATURAL-L,,,4030707206,6010-656-NATURAL-L,LD,6010-656-NATURAL,0,0,0,0,0,0,
6010-671-LT. BLUE-M,,,4030707210,6010-671-LT. BLUE-M,LD,6010-671-LT. BLUE,0,0,0,0,0,0,
6010-671-LT. BLUE-L,,,4030707211,6010-671-LT. BLUE-L,LD,6010-671-LT. BLUE,0,0,0,0,0,0,
6010-671-LT. BLUE-XL,,,4030707212,6010-671-LT. BLUE-XL,LD,6010-671-LT. BLUE,0,0,0,0,0,0,
6010-386-MARINE-S,,,4030707214,6010-386-MARINE-S,LD,6010-386-MARINE,0,0,0,0,0,0,
6010-671-MARINE-M,,,4030707215,6010-671-MARINE-M,LD,6010-671-MARINE,0,0,0,0,0,0,
6010-671-MARINE-L,,,4030707216,6010-671-MARINE-L,LD,6010-671-MARINE,0,0,0,0,0,0,
6010-671-MARINE-XL,,,4030707217,6010-671-MARINE-XL,LD,6010-671-MARINE,0,0,0,0,0,0,
6010-671-PEARL-M,,,4030707219,6010-671-PEARL-M,LD,6010-671-PEARL,0,0,0,0,0,0,
6010-671-PEARL-L,,,4030707220,6010-671-PEARL-L,LD,6010-671-PEARL,0,0,0,0,0,0,
6010-671-PEARL-XL,,,4030707221,6010-671-PEARL-XL,LD,6010-671-PEARL,0,0,0,0,0,0,
6010-672-LT. BLUE-S,,,4030707223,6010-672-LT. BLUE-S,LD,6010-672-LT. BLUE,0,0,0,0,0,0,
6010-672-LTBLUE-M,,,4030707224,6010-672-LT. BLUE-M,LD,6010-672-LT. BLUE,0,0,0,0,0,0,
6010-672-LTBLUE-L,,,4030707225,6010-672-LT. BLUE-L,LD,6010-672-LT. BLUE,0,0,0,0,0,0,
6010-672-LTBLUE-XL,,,4030707226,6010-672-LT. BLUE-XL,LD,6010-672-LT. BLUE,0,0,0,0,0,0,
6010-672-LTBLUE-XXL,,,4030707227,6010-672-LT. BLUE-XXL,LD,6010-672-LT. BLUE,0,0,0,0,0,0,
6010-672-SAGE-S,,,4030707228,6010-672-SAGE-S,LD,6010-672-SAGE,0,0,0,0,0,0,
6010-672-SAGE-M,,,4030707229,6010-672-SAGE-M,LD,6010-672-SAGE,0,0,0,0,0,0,
6010-672-SAGE-L,,,4030707230,6010-672-SAGE-L,LD,6010-672-SAGE,0,0,0,0,0,0,
6010-672-SAGE-XL,,,4030707231,6010-672-SAGE-XL,LD,6010-672-SAGE,0,0,0,0,0,0,
6010-672-SAGE-XXL,,,4030707232,6010-672-SAGE-XXL,LD,6010-672-SAGE,0,0,0,0,0,0,
6010-672-PEARL-M,,,4030707233,6010-672-PEARL-M,LD,6010-672-PEARL,0,0,0,0,0,0,
6010-672-PEARL-XL,,,4030707235,6010-672-PEARL-XL,LD,6010-672-PEARL,0,0,0,0,0,0,
6010-673-TAUPE-S,,,4030707237,6010-673-TAUPE-S,LD,6010-673-TAUPE,0,0,0,0,0,0,
6010-673-TAUPE-M,,,4030707238,6010-673-TAUPE-M,LD,6010-673-TAUPE,0,0,0,0,0,0,
6010-673-TAUPE-XL,,,4030707240,6010-673-TAUPE-XL,LD,6010-673-TAUPE,0,0,0,0,0,0,
6010-673-MARINE-S,,,4030707242,6010-673-MARINE-S,LD,6010-673-MARINE,0,0,0,0,0,0,
6010-673-MARINE-M,,,4030707243,6010-673-MARINE-M,LD,6010-673-MARINE,0,0,0,0,0,0,
6010-673-MARINE-L,,,4030707244,6010-673-MARINE-L,LD,6010-673-MARINE,0,0,0,0,0,0,
6010-673-MARINE-XL,,,4030707245,6010-673-MARINE-XL,LD,6010-673-MARINE,0,0,0,0,0,0,
6010-673-MARINE-XXL,,,4030707246,6010-673-MARINE-XXL,LD,6010-673-MARINE,0,0,0,0,0,0,
6010-673-NAVY-S,,,4030707247,6010-673-NAVY-S,LD,6010-673-NAVY,0,0,0,0,0,0,
6010-673-NAVY-M,,,4030707248,6010-673-NAVY-M,LD,6010-673-NAVY,0,0,0,0,0,0,
6010-673-NAVY-L,,,4030707249,6010-673-NAVY-L,LD,6010-673-NAVY,0,0,0,0,0,0,
6010-673-NAVY-XL,,,4030707250,6010-673-NAVY-XL,LD,6010-673-NAVY,0,0,0,0,0,0,
6010-674-BURGUNDY-S,,,4030707252,6010-674-BURGUNDY-S,LD,6010-674-BURGUNDY,0,0,0,0,0,0,
6010-674-MARINE-S,,,4030707256,6010-674-MARINE-S,LD,6010-674-MARINE,0,0,0,0,0,0,
6010-674-MARINE-L,,,4030707258,6010-674-MARINE-L,LD,6010-674-MARINE,0,0,0,0,0,0,
6010-674-MARINE-XXL,,,4030707260,6010-674-MARINE-XXL,LD,6010-674-MARINE,0,0,0,0,0,0,
6010-674-TAUPE-S,,,4030707261,6010-674-TAUPE-S,LD,6010-674-TAUPE,0,0,0,0,0,0,
6010-674-TAUPE-XL,,,4030707264,6010-674-TAUPE-XL,LD,6010-674-TAUPE,0,0,0,0,0,0,
6010-674-TAUPE-XXL,,,4030707265,6010-674-TAUPE-XXL,LD,6010-674-TAUPE,0,0,0,0,0,0,
Lady Vintage Crochet-IVORY-S,,,4030707266,Lady Vintage Crochet-IVORY-S,LD,Lady Vintage Crochet-IVORY,1,1,0,0,0,0,
Lady Vintage Crochet-IVORY-M,,,4030707267,Lady Vintage Crochet-IVORY-M,LD,Lady Vintage Crochet-IVORY,1,1,0,0,0,0,
Lady Vintage Crochet-IVORY-L,,,4030707268,Lady Vintage Crochet-IVORY-L,LD,Lady Vintage Crochet-IVORY,0,0,0,0,0,0,
Lady Vintage Crochet-IVORY-XL,,,4030707269,Lady Vintage Crochet-IVORY-XL,LD,Lady Vintage Crochet-IVORY,1,1,0,0,0,0,
Lady Vintage Crochet-IVORY-XXL,,,4030707270,Lady Vintage Crochet-IVORY-XXL,LD,Lady Vintage Crochet-IVORY,0,0,0,0,0,0,
6090-161-BURG-L,,,7.84E+11,6090-161-BURGUNDY-L,LD,6090-161-BURGUNDY,0,0,0,0,0,0,
