product_title,product_variant_title,product_variant_sku,quantity_sold,ending_quantity,quantity_sold_per_day
Bone Refills 90 Grams (4 Pack)®,Liver,F-LI90,8,13,1.33
Bone Refills 90 Grams (4 Pack)®,"Mix (Chicken, Beef, Duck, Liver)",F-MX90,48,0,8
Bone Refills 90 Grams (4 Pack)®,Duck,F-DU90,9,1,1.5
Bone Refills 90 Grams (4 Pack)®,Beef,F-BE90,10,28,1.67
Bone Refills 90 Grams (4 Pack)®,Chicken,F-CH90,19,1,3.17
Freez Double,UP TO 140LBS DOGS / Purple,FD-P,9,1000,1.5
Freez Double,UP TO 140LBS DOGS / Navy,FD-N,4,1000,0.67
Freez Doughnut,UP TO 140LBS DOGS / Navy,FDN-N,89,0,14.83
Freez Doughnut,UP TO 140LBS DOGS / Purple,FDN-P,26,0,4.33
FreezLava,UP TO 140LBS DOGS / Light Blue,FL-N,38,148,6.33
FreezLava,UP TO 140LBS DOGS / Coral,FL-C,42,72,7
FreezLava Bundle 90 Grams Fillers,UP TO 140LBS DOGS / Coral,BUN-FL-C90,1,0,0.17
FreezLava Bundle 90 Grams Fillers,UP TO 140LBS DOGS / Light Blue,BUN-FL-N90,3,0,0.5
FreezStar,UP TO 140LBS DOGS / Navy,FST-N,71,1000,11.83
FreezStar,UP TO 140LBS DOGS / Coral,FST-C,84,1000,14
FreezStar Bundle 90 Grams Fillers,UP TO 140LBS DOGS / Coral,BUN-FST-C90,2,0,0.33
FreezStar Bundle 90 Grams Fillers,UP TO 140LBS DOGS / Navy,BUN-FST-N90,5,0,0.83
Freezball,XL - UP TO 140 LBS DOGS / Purple,FB-PXL,305,0,50.83
Freezball,M - UP TO 20 LBS DOGS / Navy,FB-NL,99,1000,16.5
Freezball,M - UP TO 20 LBS DOGS / Purple,FB-PL,113,1000,18.83
Freezball,S - UP TO 10 LBS DOGS / Purple,FB-PS,37,1000,6.17
Freezball,XL - UP TO 140 LBS DOGS / Navy,FB-NXL,398,239,66.33
Freezball,S - UP TO 10 LBS DOGS / Navy,FB-NS,30,1000,5
Freezball Bundle 45 Grams Fillers,S - UP TO 10LBS DOGS / Navy,BUN-FB-NS,0,1,0
Freezball Bundle 45 Grams Fillers,XL - UP TO 140LBS DOGS / Purple,BUN-FB-PXL,0,0,0
Freezball Bundle 45 Grams Fillers,M - UP TO 20LBS DOGS / Navy,BUN-FB-NL,0,1,0
Freezball Bundle 45 Grams Fillers,M - UP TO 20LBS DOGS / Purple,BUN-FB-PL,0,1,0
Freezball Bundle 45 Grams Fillers,S - UP TO 10LBS DOGS / Purple,BUN-FB-PS,0,1,0
Freezball Bundle 45 Grams Fillers,XL - UP TO 140LBS DOGS / Navy,BUN-FB-NXL,0,1,0
Freezball Bundle 90 Grams Fillers,M - UP TO 20LBS DOGS / Purple,BUN-FB-PL90,2,0,0.33
Freezball Bundle 90 Grams Fillers,M - UP TO 20LBS DOGS / Navy,BUN-FB-NL90,2,0,0.33
Freezball Bundle 90 Grams Fillers,S - UP TO 10LBS DOGS / Purple,BUN-FB-PS90,1,0,0.17
Freezball Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Purple,BUN-FB-PXL90,3,0,0.5
Freezball Bundle 90 Grams Fillers,S - UP TO 10LBS DOGS / Navy,BUN-FB-NS90,0,0,0
Freezball Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Navy,BUN-FB-NXL90,44,0,7.33
Freezbone,Purple / L - Up to 140lbs Dogs,B-PL,10,1000,1.67
Freezbone,Navy / S - Up to 60lbs Dogs,B-NS,8,1000,1.33
Freezbone,Brown / L - Up to 140lbs Dogs,B-BL,11,1000,1.83
Freezbone,Brown / S - Up to 60lbs Dogs,B-BS,6,1000,1
Freezbone,Purple / S - Up to 60lbs Dogs,B-PS,8,1000,1.33
Freezbone,Navy / L - Up to 140lbs Dogs,B-NL,13,1000,2.17
Freezbone Bundle 45 Grams Fillers,Navy / L - Up to 100lbs Dogs,BUN-B-NL,0,1,0
Freezbone Bundle 45 Grams Fillers,Navy / S - Up to 30lbs Dogs,BUN-B-NS,0,1,0
Freezbone Bundle 45 Grams Fillers,Purple / S - Up to 30lbs Dogs,BUN-B-PS,0,1,0
Freezbone Bundle 45 Grams Fillers,Brown / L - Up to 100lbs Dogs,BUN-B-BL,0,1,0
Freezbone Bundle 45 Grams Fillers,Purple / L - Up to 100lbs Dogs,BUN-B-PL,0,1,0
Freezbone Bundle 45 Grams Fillers,Brown / S - Up to 30lbs Dogs,BUN-B-BS,0,1,0
Freezbone Bundle 90 Grams Fillers,Purple / S - Up to 30lbs Dogs,BUN-B-PS90,1,0,0.17
Freezbone Bundle 90 Grams Fillers,Brown / L - Up to 100lbs Dogs,BUN-B-BL90,0,0,0
Freezbone Bundle 90 Grams Fillers,Navy / S - Up to 30lbs Dogs,BUN-B-NS90,0,0,0
Freezbone Bundle 90 Grams Fillers,Brown / S - Up to 30lbs Dogs,BUN-B-BS90,0,0,0
Freezbone Bundle 90 Grams Fillers,Navy / L - Up to 100lbs Dogs,BUN-B-NL90,0,0,0
Freezbone Bundle 90 Grams Fillers,Purple / L - Up to 100lbs Dogs,BUN-B-PL90,0,0,0
Freezbox,UP TO 140LBS DOGS / Navy,FBX-N,108,1000,18
Freezbox,UP TO 140LBS DOGS / Purple,FBX-P,132,1000,22
Freezbox Bundle 45 Grams Fillers,XL - UP TO 140LBS DOGS / Navy,BUN-FBX-N,0,1,0
Freezbox Bundle 45 Grams Fillers,XL - UP TO 140LBS DOGS / Purple,BUN-FBX-P,0,0,0
Freezbox Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Purple,BUN-FBX-P90,7,0,1.17
Freezbox Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Navy,BUN-FBX-N90,4,0,0.67
Freezdouble Bundle 45 Grams Fillers,UP TO 100LBS DOGS / Purple,BUN-FD-P,0,1,0
Freezdouble Bundle 45 Grams Fillers,UP TO 100LBS DOGS / Navy,BUN-FD-N,0,1,0
Freezdouble Bundle 90 Gram Fillers,UP TO 100LBS DOGS / Purple,BUN-FD-P90,0,0,0
Freezdouble Bundle 90 Gram Fillers,UP TO 100LBS DOGS / Navy,BUN-FD-N90,1,0,0.17
Freezdoughnut Bundle 45 Grams Fillers,UP TO 120LBS DOGS / Purple,BUN-FDN-P,0,0,0
Freezdoughnut Bundle 45 Grams Fillers,UP TO 120LBS DOGS / Navy,BUN-FDN-N,0,0,0
Freezdoughnut Bundle 90 Gram Fillers,UP TO 120LBS DOGS / Navy,BUN-FDN-N90,1,0,0.17
Freezdoughnut Bundle 90 Gram Fillers,UP TO 120LBS DOGS / Purple,BUN-FDN-P90,0,0,0
Freezstick,L - UP TO 140LBS DOGS / Navy,FS-NL,54,1000,9
Freezstick,L - UP TO 140LBS DOGS / Purple,FS-PL,56,1000,9.33
Freezstick,S - UP TO 60LBS DOGS / Purple,FS-PS,58,1000,9.67
Freezstick,S - UP TO 60LBS DOGS / Navy,FS-NS,33,1000,5.5
Freezstick Bundle 45 Grams Fillers,L - UP TO 140LBS DOGS / Purple,BUN-FS-PL,0,1,0
Freezstick Bundle 45 Grams Fillers,S - UP TO 60LBS DOGS / Navy,BUN-FS-NS,0,1000,0
Freezstick Bundle 45 Grams Fillers,S - UP TO 60LBS DOGS / Purple,BUN-FS-PS,0,1,0
Freezstick Bundle 45 Grams Fillers,L - UP TO 140LBS DOGS / Navy,BUN-FS-NL,0,1,0
Freezstick Bundle 90 Gram Fillers,S - UP TO 60LBS DOGS / Purple,BUN-FS-PS90,4,0,0.67
Freezstick Bundle 90 Gram Fillers,L - UP TO 140LBS DOGS / Navy,BUN-FS-NL90,8,0,1.33
Freezstick Bundle 90 Gram Fillers,S - UP TO 60LBS DOGS / Navy,BUN-FS-NS90,2,0,0.33
Freezstick Bundle 90 Gram Fillers,L - UP TO 140LBS DOGS / Purple,BUN-FS-PL90,2,0,0.33
Peanut Butter 45 Grams (4 Pack)®,Peanut Butter,F-PB,32,147,5.33
