product_title,product_variant_title,product_variant_sku,quantity_sold,ending_quantity,quantity_sold_per_day
Bone Refills 45 Grams (4 Pack)®,Chicken,F-CH,2,110,0.13
Bone Refills 45 Grams (4 Pack)®,Peanut Butter,F-PB,4,132,0.25
Bone Refills 45 Grams (4 Pack)®,Duck,F-DU,1,47,0.06
Bone Refills 45 Grams (4 Pack)®,Beef,F-BE,0,102,0
Bone Refills 45 Grams (4 Pack)®,Liver,F-LI,0,7,0
Bone Refills 45 Grams (4 Pack)®,"Mix (Chicken, Beef, Duck, Liver)",F-MX,16,793,1
Bone Refills 90 Grams (4 Pack)®,Chicken,F-CH90,7,176,0.44
Bone Refills 90 Grams (4 Pack)®,Duck,F-DU90,5,207,0.31
Bone Refills 90 Grams (4 Pack)®,"Mix (Chicken, Beef, Duck, Liver)",F-MX90,82,785,5.13
Bone Refills 90 Grams (4 Pack)®,Liver,F-LI90,2,186,0.13
Bone Refills 90 Grams (4 Pack)®,Beef,F-BE90,10,213,0.63
Freez Double,UP TO 140LBS DOGS / Purple,FD-P,9,401,0.56
Freez Double,UP TO 140LBS DOGS / Navy,FD-N,4,410,0.25
Freez Doughnut,UP TO 140LBS DOGS / Purple,FDN-P,44,691,2.75
Freez Doughnut,UP TO 140LBS DOGS / Navy,FDN-N,35,819,2.19
FreezStar,UP TO 140LBS DOGS / Coral,FST-C,26,165,1.63
FreezStar,UP TO 140LBS DOGS / Navy,FST-N,18,167,1.13
FreezStar Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Navy,BUN-FST-N90,5,167,0.31
FreezStar Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Coral,BUN-FST-C90,3,165,0.19
Freezball,L - UP TO 40 LBS DOGS / Purple,FB-PL,176,178,11
Freezball,XL - UP TO 140 LBS DOGS / Navy,FB-NXL,285,0,17.81
Freezball,S - UP TO 25 LBS DOGS / Purple,FB-PS,107,85,6.69
Freezball,XL - UP TO 140 LBS DOGS / Purple,FB-PXL,241,56,15.06
Freezball,L - UP TO 40 LBS DOGS / Navy,FB-NL,160,230,10
Freezball,S - UP TO 25 LBS DOGS / Navy,FB-NS,97,148,6.06
Freezball Bundle 45 Grams Fillers,XL - UP TO 140LBS DOGS / Purple,BUN-FB-PXL,1,56,0.06
Freezball Bundle 45 Grams Fillers,XL - UP TO 140LBS DOGS / Navy,BUN-FB-NXL,2,0,0.13
Freezball Bundle 45 Grams Fillers,L - UP TO 40LBS DOGS / Navy,BUN-FB-NL,0,230,0
Freezball Bundle 45 Grams Fillers,L - UP TO 40LBS DOGS / Purple,BUN-FB-PL,1,178,0.06
Freezball Bundle 45 Grams Fillers,S - UP TO 25LBS DOGS / Navy,BUN-FB-NS,2,148,0.13
Freezball Bundle 45 Grams Fillers,S - UP TO 25LBS DOGS / Purple,BUN-FB-PS,1,85,0.06
Freezball Bundle 90 Grams Fillers,S - UP TO 25LBS DOGS / Purple,BUN-FB-PS90,0,85,0
Freezball Bundle 90 Grams Fillers,L - UP TO 40LBS DOGS / Purple,BUN-FB-PL90,1,178,0.06
Freezball Bundle 90 Grams Fillers,S - UP TO 25LBS DOGS / Navy,BUN-FB-NS90,3,148,0.19
Freezball Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Navy,BUN-FB-NXL90,4,0,0.25
Freezball Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Purple,BUN-FB-PXL90,4,56,0.25
Freezball Bundle 90 Grams Fillers,L - UP TO 40LBS DOGS / Navy,BUN-FB-NL90,4,230,0.25
Freezbone,Brown / S - Up to 60lbs Dogs,B-BS,3,120,0.19
