product_title,product_variant_title,product_variant_sku,quantity_sold,ending_quantity,quantity_sold_per_day
Bone Refills 45 Grams (4 Pack)®,Beef,F-BE,8,86,0.29
Bone Refills 45 Grams (4 Pack)®,Chicken,F-CH,9,54,0.32
Bone Refills 45 Grams (4 Pack)®,Duck,F-DU,5,57,0.18
Bone Refills 45 Grams (4 Pack)®,Liver,F-LI,2,159,0.07
Bone Refills 45 Grams (4 Pack)®,Peanut Butter,F-PB,18,323,0.64
Bone Refills 45 Grams (4 Pack)®,"Mix (Chicken, Beef, Duck, Liver)",F-MX,50,450,1.79
Bone Refills 90 Grams (4 Pack)®,"Mix (Chicken, Beef, Duck, Liver)",F-MX90,189,361,6.75
Bone Refills 90 Grams (4 Pack)®,Beef,F-BE90,22,183,0.79
Bone Refills 90 Grams (4 Pack)®,Liver,F-LI90,12,185,0.43
Bone Refills 90 Grams (4 Pack)®,Chicken,F-CH90,15,163,0.54
Bone Refills 90 Grams (4 Pack)®,Duck,F-DU90,28,289,1
Freez Double,UP TO 140LBS DOGS / Purple,FD-P,18,167,0.64
Freez Double,UP TO 140LBS DOGS / Navy,FD-N,17,143,0.61
Freez Doughnut,UP TO 140LBS DOGS / Purple,FDN-P,196,504,7
Freez Doughnut,UP TO 140LBS DOGS / Navy,FDN-N,182,605,6.5
FreezStar,UP TO 140LBS DOGS / Coral,FST-C,143,0,5.11
FreezStar,UP TO 140LBS DOGS / Navy,FST-N,147,0,5.25
FreezStar Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Navy,BUN-FST-N90,9,0,0.32
FreezStar Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Coral,BUN-FST-C90,18,0,0.64
Freezball,L - UP TO 40 LBS DOGS / Navy,FB-NL,769,177,27.46
Freezball,XL - UP TO 140 LBS DOGS / Navy,FB-NXL,926,61,33.07
Freezball,XL - UP TO 140 LBS DOGS / Purple,FB-PXL,983,0,35.11
Freezball,S - UP TO 25 LBS DOGS / Purple,FB-PS,434,129,15.5
Freezball,S - UP TO 25 LBS DOGS / Navy,FB-NS,412,209,14.71
Freezball,L - UP TO 40 LBS DOGS / Purple,FB-PL,713,174,25.46
Freezball Bundle 45 Grams Fillers,XL - UP TO 140LBS DOGS / Navy,BUN-FB-NXL,5,62,0.18
