product_title,product_variant_title,product_variant_sku,quantity_sold,ending_quantity,quantity_sold_per_day
Bone Refills 45 Grams (4 Pack)®,Liver,F-LI,0,27,0
Bone Refills 45 Grams (4 Pack)®,Beef,F-BE,5,124,0.2
Bone Refills 45 Grams (4 Pack)®,Duck,F-DU,3,78,0.12
Bone Refills 45 Grams (4 Pack)®,Peanut Butter,F-PB,16,10,0.64
Bone Refills 45 Grams (4 Pack)®,"Mix (Chicken, Beef, Duck, Liver)",F-MX,40,1048,1.6
Bone Refills 45 Grams (4 Pack)®,Chicken,F-CH,2,129,0.08
Bone Refills 90 Grams (4 Pack)®,Chicken,F-CH90,24,29,0.96
Bone Refills 90 Grams (4 Pack)®,Beef,F-BE90,17,37,0.68
Bone Refills 90 Grams (4 Pack)®,Liver,F-LI90,16,44,0.64
Bone Refills 90 Grams (4 Pack)®,"Mix (Chicken, Beef, Duck, Liver)",F-MX90,125,772,5
Bone Refills 90 Grams (4 Pack)®,Duck,F-DU90,19,63,0.76
Freez Double,UP TO 140LBS DOGS / Purple,FD-P,16,516,0.64
Freez Double,UP TO 140LBS DOGS / Navy,FD-N,9,498,0.36
Freez Doughnut,UP TO 140LBS DOGS / Purple,FDN-P,118,99,4.72
Freez Doughnut,UP TO 140LBS DOGS / Navy,FDN-N,102,105,4.08
Freezball,XL - UP TO 140 LBS DOGS / Navy,FB-NXL,54,279,1.46
Freezball,S - UP TO 25 LBS DOGS / Navy,FB-NS,33,122,0.89
Freezball,S - UP TO 25 LBS DOGS / Purple,FB-PS,33,151,0.89
Freezball,L - UP TO 40 LBS DOGS / Navy,FB-NL,45,177,1.22
Freezball,L - UP TO 40 LBS DOGS / Purple,FB-PL,57,149,1.54
Freezball,XL - UP TO 140 LBS DOGS / Purple,FB-PXL,59,266,1.59
Freezball Bundle,L - UP TO 40LBS DOGS / Purple,BUN-FB-PL,0,100,0
Freezball Bundle,L - UP TO 40LBS DOGS / Navy,BUN-FB-NL,0,112,0
Freezball Bundle,S - UP TO 25LBS DOGS / Purple,BUN-FB-PS,0,174,0
Freezball Bundle,S - UP TO 25LBS DOGS / Navy,BUN-FB-NS,0,146,0
Freezball Bundle,XL - UP TO 140LBS DOGS / Navy,BUN-FB-NXL,0,133,0
Freezball Bundle 45 Grams Fillers,L - UP TO 40LBS DOGS / Navy,BUN-FB-NL,0,177,0
Freezball Bundle 45 Grams Fillers,S - UP TO 25LBS DOGS / Purple,BUN-FB-PS,2,151,0.08
Freezball Bundle 45 Grams Fillers,XL - UP TO 140LBS DOGS / Purple,BUN-FB-PXL,1,266,0.06
Freezball Bundle 45 Grams Fillers,S - UP TO 25LBS DOGS / Navy,BUN-FB-NS,1,122,0.04
Freezball Bundle 45 Grams Fillers,XL - UP TO 140LBS DOGS / Navy,BUN-FB-NXL,2,279,0.08
Freezball Bundle 45 Grams Fillers,L - UP TO 40LBS DOGS / Purple,BUN-FB-PL,1,149,0.04
Freezball Bundle 90 Grams Fillers,L - UP TO 40LBS DOGS / Purple,BUN-FB-PL90,5,177,0.14
Freezball Bundle 90 Grams Fillers,S - UP TO 25LBS DOGS / Purple,BUN-FB-PS90,2,151,0.05
Freezball Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Purple,BUN-FB-PXL90,6,266,0.16
Freezball Bundle 90 Grams Fillers,L - UP TO 40LBS DOGS / Navy,BUN-FB-NL90,4,149,0.11
Freezball Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Navy,BUN-FB-NXL90,11,279,0.3
Freezball Bundle 90 Grams Fillers,S - UP TO 25LBS DOGS / Navy,BUN-FB-NS90,4,122,0.11
Freezbone,Purple / S - Up to 60lbs Dogs,B-PS,27,260,1.08
Freezbone,Brown / L - Up to 140lbs Dogs,B-BL,18,143,0.72
Freezbone,Navy / L - Up to 140lbs Dogs,B-NL,25,229,1
Freezbone,Brown / S - Up to 60lbs Dogs,B-BS,15,33,0.6
Freezbone,Navy / S - Up to 60lbs Dogs,B-NS,17,417,0.68
Freezbone,Purple / L - Up to 140lbs Dogs,B-PL,14,259,0.56
Freezbone - The Dog Feeders ®,Navy / S - Up to 60lbs Dogs,B-NS,15,232,1.25
Freezbone - The Dog Feeders ®,Navy / L - Up to 140lbs Dogs,B-NL,9,34,0.75
Freezbone - The Dog Feeders ®,Purple / L - Up to 140lbs Dogs,B-PL,9,73,0.75
Freezbone - The Dog Feeders ®,Brown / S - Up to 60lbs Dogs,B-BS,5,52,0.42
Freezbone - The Dog Feeders ®,Purple / S - Up to 60lbs Dogs,B-PS,21,86,1.75
Freezbone - The Dog Feeders ®,Brown / L - Up to 140lbs Dogs,B-BL,8,166,0.67
Freezbone Bundle - 90 Grams Fillers,Navy / S - Up to 60lbs Dogs,BUN-B-NS90,3,233,0.25
Freezbone Bundle - 90 Grams Fillers,Purple / L - Up to 140lbs Dogs,BUN-B-PL90,1,72,0.08
Freezbone Bundle - 90 Grams Fillers,Navy / L - Up to 140lbs Dogs,BUN-B-NL90,1,34,0.08
Freezbone Bundle - 90 Grams Fillers,Purple / S - Up to 60lbs Dogs,BUN-B-PS90,2,86,0.17
Freezbone Bundle - 90 Grams Fillers,Brown / S - Up to 60lbs Dogs,BUN-B-BS90,2,166,0.17
Freezbone Bundle - 90 Grams Fillers,Brown / L - Up to 140lbs Dogs,BUN-B-BL90,0,166,0
Freezbone Bundle 45 Grams Fillers,Purple / S - Up to 60lbs Dogs,BUN-B-PS,1,260,0.04
