product_title,product_variant_title,product_variant_sku,quantity_sold,ending_quantity,quantity_sold_per_day
Freezdouble Bundle 90 Gram Fillers,L - UP TO 140LBS DOGS / Purple,BUN-FD-P90,1,395,0.03
Freezdoughnut Bundle 45 Grams Fillers,L - UP TO 140LBS DOGS / Navy,BUN-FDN-N,3,2,0.1
Freezdoughnut Bundle 45 Grams Fillers,L - UP TO 140LBS DOGS / Purple,BUN-FDN-P,5,2,0.17
Freezdoughnut Bundle 90 Gram Fillers,L - UP TO 140LBS DOGS / Purple,BUN-FDN-P90,15,96,0.52
Freezdoughnut Bundle 90 Gram Fillers,L - UP TO 140LBS DOGS / Navy,BUN-FDN-N90,7,96,0.24
Freezstick,L - UP TO 140LBS DOGS / Purple,FS-PL,61,261,2.1
Freezstick,S - UP TO 60LBS DOGS / Navy,FS-NS,55,292,1.9
Freezstick,S - UP TO 60LBS DOGS / Purple,FS-PS,65,219,2.24
Freezstick,L - UP TO 140LBS DOGS / Navy,FS-NL,69,223,2.38
Freezstick Bundle 45 Grams Fillers,L - UP TO 140LBS DOGS / Purple,BUN-FS-PL,1,2,0.03
Freezstick Bundle 45 Grams Fillers,L - UP TO 140LBS DOGS / Navy,BUN-FS-NL,0,2,0
Freezstick Bundle 45 Grams Fillers,S - UP TO 60LBS DOGS / Purple,BUN-FS-PS,1,2,0.03
Freezstick Bundle 45 Grams Fillers,S - UP TO 60LBS DOGS / Navy,BUN-FS-NS,1,2,0.03
Freezstick Bundle 90 Gram Fillers,L - UP TO 140LBS DOGS / Navy,BUN-FS-NL90,3,96,0.1
Freezstick Bundle 90 Gram Fillers,S - UP TO 60LBS DOGS / Navy,BUN-FS-NS90,2,96,0.07
Freezstick Bundle 90 Gram Fillers,L - UP TO 140LBS DOGS / Purple,BUN-FS-PL90,6,96,0.21
Freezstick Bundle 90 Gram Fillers,S - UP TO 60LBS DOGS / Purple,BUN-FS-PS90,4,96,0.14
