product_title,product_variant_title,product_variant_sku,quantity_sold,ending_quantity,quantity_sold_per_day
Freezball,XL - UP TO 140 LBS DOGS / Purple,FB-PXL,955,1000,34.11
Freezball,XL - UP TO 140 LBS DOGS / Navy,FB-NXL,712,54,25.43
Freezball,M - UP TO 20 LBS DOGS / Navy,FB-NL,336,1000,12
Freezbox,UP TO 140LBS DOGS / Purple,FBX-P,296,1000,10.57
Freezball,M - UP TO 20 LBS DOGS / Purple,FB-PL,287,1000,10.25
Freezbox,UP TO 140LBS DOGS / Navy,FBX-N,244,1000,8.71
Freez Doughnut,UP TO 140LBS DOGS / Purple,FDN-P,200,1000,7.14
Freez Doughnut,UP TO 140LBS DOGS / Navy,FDN-N,173,1000,6.18
Freezball,S - UP TO 10 LBS DOGS / Purple,FB-PS,164,1000,5.86
FreezStar,UP TO 140LBS DOGS / Navy,FST-N,161,1000,5.75
FreezStar,UP TO 140LBS DOGS / Coral,FST-C,140,1000,5
Freezball,S - UP TO 10 LBS DOGS / Navy,FB-NS,140,1000,5
Bone Refills 90 Grams (4 Pack)®,"Mix (Chicken, Beef, Duck, Liver)",F-MX90,135,837,4.82
Freezstick,L - UP TO 140LBS DOGS / Purple,FS-PL,62,1000,2.21
Bone Refills 90 Grams (4 Pack)®,Chicken,F-CH90,60,50,2.14
Freezstick,S - UP TO 60LBS DOGS / Navy,FS-NS,59,1000,2.11
Bone Refills 90 Grams (4 Pack)®,Duck,F-DU90,58,1,2.07
Freezstick,L - UP TO 140LBS DOGS / Navy,FS-NL,56,1000,2
Freezstick,S - UP TO 60LBS DOGS / Purple,FS-PS,56,1000,2
Bone Refills 90 Grams (4 Pack)®,Beef,F-BE90,55,0,1.96
Bone Refills 90 Grams (4 Pack)®,Liver,F-LI90,37,0,1.32
Peanut Butter 45 Grams (4 Pack)®,Peanut Butter,F-PB,26,290,2.36
Bone Refills 45 Grams (4 Pack)®,Peanut Butter,F-PB,25,1000,1.47
Freezbone,Brown / L - Up to 140lbs Dogs,B-BL,22,1000,0.79
Freezball Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Navy,BUN-FB-NXL90,20,54,0.71
Freez Double,UP TO 140LBS DOGS / Navy,FD-N,20,1000,0.71
Freez Double,UP TO 140LBS DOGS / Purple,FD-P,20,1000,0.71
Bone Refills 45 Grams (4 Pack)®,Beef,F-BE,20,1000,1.18
Freezbone,Brown / S - Up to 60lbs Dogs,B-BS,19,1000,0.68
FreezLava,UP TO 140LBS DOGS / Coral,FL-C,19,172,3.17
FreezLava,UP TO 140LBS DOGS / Light Blue,FL-N,19,171,3.17
Freezball Bundle 90 Grams Fillers,M - UP TO 20LBS DOGS / Purple,BUN-FB-PL90,18,455,0.64
Freezbone,Navy / L - Up to 140lbs Dogs,B-NL,17,1000,0.61
Freezbone,Purple / S - Up to 60lbs Dogs,B-PS,16,1000,0.57
Freezstick Bundle 45 Grams Fillers,S - UP TO 60LBS DOGS / Navy,BUN-FS-NS,14,1000,0.5
Bone Refills 45 Grams (4 Pack)®,Duck,F-DU,14,1000,0.82
Bone Refills 45 Grams (4 Pack)®,Chicken,F-CH,13,1000,0.76
Freezbone,Purple / L - Up to 140lbs Dogs,B-PL,12,1000,0.43
Freezbone,Navy / S - Up to 60lbs Dogs,B-NS,12,1000,0.43
Freezball Bundle 90 Grams Fillers,M - UP TO 20LBS DOGS / Navy,BUN-FB-NL90,12,446,0.43
Freezball Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Purple,BUN-FB-PXL90,11,4,0.39
Freezbox Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Navy,BUN-FBX-N90,10,106,0.36
Bone Refills 45 Grams (4 Pack)®,Liver,F-LI,10,1000,0.59
Freezball Bundle 90 Grams Fillers,S - UP TO 10LBS DOGS / Navy,BUN-FB-NS90,9,254,0.32
Freezball Bundle 90 Grams Fillers,S - UP TO 10LBS DOGS / Purple,BUN-FB-PS90,9,200,0.32
Freezdoughnut Bundle 90 Gram Fillers,UP TO 120LBS DOGS / Purple,BUN-FDN-P90,8,0,0.29
Freezbox Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Purple,BUN-FBX-P90,7,90,0.25
FreezStar Bundle 90 Grams Fillers,UP TO 140LBS DOGS / Navy,BUN-FST-N90,7,83,0.25
Freezstick Bundle 90 Gram Fillers,L - UP TO 140LBS DOGS / Navy,BUN-FS-NL90,6,300,0.21
FreezStar Bundle 90 Grams Fillers,UP TO 140LBS DOGS / Coral,BUN-FST-C90,6,114,0.21
FreezLava Bundle 90 Grams Fillers,UP TO 140LBS DOGS / Light Blue,BUN-FL-N90,4,122,0.67
Bone Refills 45 Grams (4 Pack)®,"Mix (Chicken, Beef, Duck, Liver)",F-MX,4,0,0.24
Freezbone Bundle 90 Grams Fillers,Purple / S - Up to 30lbs Dogs,BUN-B-PS90,2,290,0.07
Freezbone Bundle 90 Grams Fillers,Navy / L - Up to 100lbs Dogs,BUN-B-NL90,2,137,0.07
Freezdoughnut Bundle 90 Gram Fillers,UP TO 120LBS DOGS / Navy,BUN-FDN-N90,2,175,0.07
Freezbone Bundle 90 Grams Fillers,Brown / S - Up to 30lbs Dogs,BUN-B-BS90,1,70,0.04
FreezLava Bundle 90 Grams Fillers,UP TO 140LBS DOGS / Coral,BUN-FL-C90,1,152,0.2
Freezbone Bundle 90 Grams Fillers,Purple / L - Up to 100lbs Dogs,BUN-B-PL90,1,156,0.04
Freezstick Bundle 90 Gram Fillers,S - UP TO 60LBS DOGS / Purple,BUN-FS-PS90,1,307,0.04
Freezstick Bundle 90 Gram Fillers,S - UP TO 60LBS DOGS / Navy,BUN-FS-NS90,1,380,0.04
Freezdouble Bundle 45 Grams Fillers,UP TO 100LBS DOGS / Navy,BUN-FD-N,0,1,0
Freezbone Bundle 45 Grams Fillers,Navy / L - Up to 100lbs Dogs,BUN-B-NL,0,1,0
Freezbone Bundle 45 Grams Fillers,Brown / S - Up to 30lbs Dogs,BUN-B-BS,0,1,0
Freezstick Bundle 45 Grams Fillers,S - UP TO 60LBS DOGS / Purple,BUN-FS-PS,0,1,0
Freezball Bundle 45 Grams Fillers,S - UP TO 10LBS DOGS / Navy,BUN-FB-NS,0,1,0
Freezbone Bundle 45 Grams Fillers,Purple / S - Up to 30lbs Dogs,BUN-B-PS,0,1,0
Freezball Bundle 45 Grams Fillers,XL - UP TO 140LBS DOGS / Navy,BUN-FB-NXL,0,1,0
Freezbox Bundle 45 Grams Fillers,XL - UP TO 140LBS DOGS / Purple,BUN-FBX-P,0,1,0
Freezbone Bundle 90 Grams Fillers,Brown / L - Up to 100lbs Dogs,BUN-B-BL90,0,59,0
Freezdoughnut Bundle 45 Grams Fillers,UP TO 120LBS DOGS / Purple,BUN-FDN-P,0,0,0
Freezbox Bundle 45 Grams Fillers,XL - UP TO 140LBS DOGS / Navy,BUN-FBX-N,0,1,0
Freezstick Bundle 45 Grams Fillers,L - UP TO 140LBS DOGS / Purple,BUN-FS-PL,0,1,0
Freezbone Bundle 45 Grams Fillers,Purple / L - Up to 100lbs Dogs,BUN-B-PL,0,1,0
Freezstick Bundle 90 Gram Fillers,L - UP TO 140LBS DOGS / Purple,BUN-FS-PL90,0,837,0
Freezbone Bundle 45 Grams Fillers,Brown / L - Up to 100lbs Dogs,BUN-B-BL,0,1,0
Freezbone Bundle 90 Grams Fillers,Navy / S - Up to 30lbs Dogs,BUN-B-NS90,0,418,0
Freezball Bundle 45 Grams Fillers,XL - UP TO 140LBS DOGS / Purple,BUN-FB-PXL,0,1,0
Freezdouble Bundle 90 Gram Fillers,UP TO 100LBS DOGS / Navy,BUN-FD-N90,0,130,0
Freezdoughnut Bundle 45 Grams Fillers,UP TO 120LBS DOGS / Navy,BUN-FDN-N,0,1,0
Freezstick Bundle 45 Grams Fillers,L - UP TO 140LBS DOGS / Navy,BUN-FS-NL,0,1,0
Freezdouble Bundle 45 Grams Fillers,UP TO 100LBS DOGS / Purple,BUN-FD-P,0,1,0
Freezdouble Bundle 90 Gram Fillers,UP TO 100LBS DOGS / Purple,BUN-FD-P90,0,128,0
Freezbone Bundle 45 Grams Fillers,Navy / S - Up to 30lbs Dogs,BUN-B-NS,0,1,0
Freezball Bundle 45 Grams Fillers,M - UP TO 20LBS DOGS / Purple,BUN-FB-PL,0,1,0
Freezball Bundle 45 Grams Fillers,M - UP TO 20LBS DOGS / Navy,BUN-FB-NL,0,1,0
Freezball Bundle 45 Grams Fillers,S - UP TO 10LBS DOGS / Purple,BUN-FB-PS,0,1,0
