,FB-NXL,FB-NL,FB-NS,FB-PXL,FB-PL,FB-PS,FBX-N,FBX-P,FST-C,FST-N,F-MX90
2024-06-09,47.233333333333334,31.0,37.233333333333334,30.433333333333334,53.93333333333334,0.0,91.86666666666666,180.23333333333332,26.166666666666668,2.466666666666667,551.3
2024-06-10,219.4666666666667,6.0,23.46666666666667,0.0,30.86666666666667,0.0,87.73333333333332,175.46666666666664,21.333333333333336,0.0,533.5999999999999
2024-06-11,191.70000000000005,181.0,9.700000000000001,0.0,7.800000000000004,0.0,83.59999999999998,170.69999999999996,16.500000000000004,0.0,515.8999999999999
2024-06-12,163.9333333333334,156.0,195.9333333333333,0.0,0.0,0.0,79.46666666666664,165.93333333333328,11.666666666666671,0.0,498.1999999999999
2024-06-13,136.16666666666674,131.0,182.16666666666663,168.43333333333334,0.0,0.0,75.3333333333333,161.1666666666666,6.833333333333338,0.0,480.4999999999999
2024-06-14,108.40000000000008,106.0,168.39999999999995,136.86666666666667,176.93333333333334,0.0,71.19999999999996,156.39999999999992,2.0000000000000053,0.0,462.7999999999999
2024-06-15,80.63333333333341,81.0,154.63333333333327,105.30000000000001,153.86666666666667,186.1,67.06666666666662,151.63333333333324,0.0,0.0,445.0999999999999
2024-06-16,52.866666666666745,56.0,140.8666666666666,73.73333333333335,130.8,172.2,62.93333333333329,146.86666666666656,0.0,0.0,427.3999999999999
2024-06-17,25.10000000000008,31.0,127.09999999999992,42.166666666666686,107.73333333333335,158.29999999999998,58.799999999999955,142.09999999999988,0.0,0.0,409.69999999999993
2024-06-18,0.0,6.0,113.33333333333326,10.60000000000002,84.66666666666669,144.39999999999998,54.66666666666662,137.3333333333332,0.0,0.0,391.99999999999994
2024-06-19,0.0,0.0,99.56666666666659,0.0,61.60000000000002,130.49999999999997,50.53333333333329,132.56666666666652,0.0,0.0,374.29999999999995
2024-06-20,0.0,0.0,85.79999999999993,0.0,38.53333333333336,116.59999999999997,46.399999999999956,127.79999999999986,0.0,0.0,356.59999999999997
2024-06-21,0.0,0.0,72.03333333333326,0.0,15.466666666666693,102.69999999999996,42.26666666666662,123.03333333333319,0.0,0.0,338.9
2024-06-22,0.0,0.0,58.266666666666595,0.0,0.0,88.79999999999995,38.13333333333329,118.26666666666652,0.0,0.0,321.2
2024-06-23,0.0,0.0,44.49999999999993,0.0,0.0,74.89999999999995,33.99999999999996,113.49999999999986,0.0,0.0,303.5
2024-06-24,0.0,0.0,30.733333333333263,0.0,0.0,60.99999999999995,29.866666666666625,108.73333333333319,0.0,0.0,285.8
2024-06-25,0.0,0.0,16.966666666666598,0.0,0.0,47.09999999999995,25.73333333333329,103.96666666666653,0.0,0.0,268.1
2024-06-26,0.0,0.0,3.19999999999993,0.0,0.0,33.19999999999995,21.59999999999996,99.19999999999986,0.0,0.0,250.40000000000003
2024-06-27,0.0,0.0,0.0,0.0,0.0,19.299999999999955,17.466666666666626,94.4333333333332,0.0,0.0,232.70000000000005
2024-06-28,0.0,0.0,0.0,0.0,0.0,5.399999999999954,13.333333333333293,89.66666666666653,0.0,0.0,215.00000000000006
2024-06-29,0.0,0.0,0.0,0.0,0.0,0.0,9.19999999999996,84.89999999999986,0.0,0.0,197.30000000000007
2024-06-30,0.0,0.0,0.0,0.0,0.0,0.0,5.0666666666666265,80.1333333333332,0.0,0.0,179.60000000000008
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333332927,75.36666666666653,0.0,0.0,161.9000000000001
2024-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.59999999999987,0.0,0.0,144.2000000000001
2024-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.8333333333332,0.0,0.0,126.5000000000001
2024-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.066666666666535,0.0,0.0,108.8000000000001
2024-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.29999999999987,0.0,0.0,91.1000000000001
2024-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5333333333332,0.0,0.0,73.40000000000009
2024-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.76666666666654,0.0,0.0,55.70000000000009
2024-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.99999999999987,0.0,0.0,38.000000000000085
2024-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.233333333333206,0.0,0.0,20.300000000000086
2024-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.46666666666654,0.0,0.0,2.6000000000000867
2024-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.699999999999875,0.0,0.0,0.0
2024-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.93333333333321,0.0,0.0,0.0
2024-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.166666666666544,0.0,0.0,0.0
2024-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.399999999999878,0.0,0.0,0.0
2024-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.633333333333212,0.0,0.0,0.0
2024-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8666666666665455,0.0,0.0,0.0
2024-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
