,Product Variant SKU,Total Quantity Sold,Cost,Price,ending_quantity,Daily Sales Rate,Days of Inventory,Total Cost,Gross Revenue,Target Sale Per Unit,Order Date,Order Amount,Incoming order,Purchase Amount,Real Cost
0,B-BL,17,2.17,18.95,102,0.5666666666666667,180.0,37.0,322.0,14.0,,,0.0,0.0,0.0
1,B-BS,15,1.61,14.95,111,0.5,222.0,24.0,224.0,13.0,,,0.0,0.0,0.0
2,B-NL,15,2.17,18.95,135,0.5,270.0,33.0,284.0,13.0,,,0.0,0.0,0.0
3,B-NS,19,1.61,14.95,371,0.6333333333333333,585.7894736842105,31.0,284.0,16.0,,,0.0,0.0,0.0
4,B-PL,15,2.17,18.95,148,0.5,296.0,33.0,284.0,13.0,,,0.0,0.0,0.0
5,B-PS,17,1.61,14.95,332,0.5666666666666667,585.8823529411765,27.0,254.0,14.0,,,0.0,0.0,0.0
6,FB-NXL,833,3.27,22.95,75,27.766666666666666,2.701080432172869,2724.0,19117.0,705.0,2024-06-10,200.0,200.0,430.0,1406.0
7,FB-NL,750,1.58,18.95,56,25.0,2.24,1185.0,14212.0,635.0,2024-06-11,200.0,200.0,379.0,599.0
8,FB-NS,413,1.3,14.95,51,13.766666666666667,3.704600484261501,537.0,6174.0,349.0,2024-06-12,200.0,200.0,98.0,127.0
9,FB-PXL,947,3.27,22.95,62,31.566666666666666,1.9640971488912355,3097.0,21734.0,801.0,2024-06-13,200.0,200.0,539.0,1763.0
10,FB-PL,692,1.58,18.95,77,23.066666666666666,3.338150289017341,1093.0,13113.0,585.0,2024-06-14,200.0,200.0,308.0,487.0
11,FB-PS,417,1.3,14.95,0,13.9,0.0,542.0,6234.0,353.0,2024-06-15,200.0,200.0,153.0,199.0
12,FD-N,19,2.86,13.95,145,0.6333333333333333,228.94736842105263,54.0,265.0,16.0,,,0.0,0.0,0.0
13,FD-P,18,2.86,13.95,170,0.6,283.33333333333337,51.0,251.0,15.0,,,0.0,0.0,0.0
14,FDN-N,179,2.33,16.95,640,5.966666666666667,107.26256983240224,417.0,3034.0,151.0,,,0.0,0.0,0.0
15,FDN-P,205,2.33,16.95,552,6.833333333333333,80.78048780487805,478.0,3475.0,173.0,,,0.0,0.0,0.0
16,FS-NL,58,3.89,22.95,275,1.9333333333333333,142.24137931034483,226.0,1331.0,49.0,,,0.0,0.0,0.0
17,FS-NS,60,3.51,18.95,344,2.0,172.0,211.0,1137.0,51.0,,,0.0,0.0,0.0
18,FS-PL,63,3.89,22.95,311,2.1,148.0952380952381,245.0,1446.0,53.0,,,0.0,0.0,0.0
19,FS-PS,63,3.51,18.95,253,2.1,120.47619047619047,221.0,1194.0,53.0,,,0.0,0.0,0.0
20,FBX-N,124,3.57,22.95,96,4.133333333333334,23.2258064516129,443.0,2846.0,105.0,,,0.0,9.0,32.0
21,FBX-P,143,3.57,22.95,185,4.766666666666667,38.81118881118881,511.0,3282.0,121.0,,,0.0,0.0,0.0
22,FST-C,145,2.7,18.95,31,4.833333333333333,6.413793103448277,392.0,2748.0,123.0,,,0.0,92.0,248.0
23,FST-N,166,2.7,18.95,8,5.533333333333333,1.4457831325301205,448.0,3146.0,140.0,,,0.0,132.0,356.0
24,F-BE90,26,2.1,14.95,185,0.8666666666666667,213.46153846153845,55.0,389.0,22.0,,,0.0,0.0,0.0
25,F-CH90,20,2.1,14.95,164,0.6666666666666666,246.0,42.0,299.0,17.0,,,0.0,0.0,0.0
26,F-DU90,27,2.1,14.95,291,0.9,323.3333333333333,57.0,404.0,23.0,,,0.0,0.0,0.0
27,F-LI90,12,2.1,14.95,186,0.4,465.0,25.0,179.0,10.0,,,0.0,0.0,0.0
28,F-MX90,531,2.1,14.95,569,17.7,32.14689265536723,1115.0,7938.0,449.0,2024-06-05,1000.0,1000.0,0.0,0.0
29,F-BE,7,1.8,12.95,87,0.23333333333333334,372.85714285714283,13.0,91.0,6.0,,,0.0,0.0,0.0
30,F-CH,9,1.8,12.95,54,0.3,180.0,16.0,117.0,8.0,,,0.0,0.0,0.0
31,F-DU,6,1.8,12.95,57,0.2,285.0,11.0,78.0,5.0,,,0.0,0.0,0.0
32,F-LI,0,1.8,12.95,159,0.0,inf,0.0,0.0,0.0,,,0.0,0.0,0.0
33,F-MX,162,1.8,12.95,469,5.4,86.85185185185185,292.0,2098.0,137.0,,,0.0,0.0,0.0
34,F-PB,16,1.8,12.95,327,0.5333333333333333,613.125,29.0,207.0,14.0,,,0.0,0.0,0.0
