,Product Variant SKU,Total Quantity Sold,Cost,Price,ending_quantity,Daily Sales Rate,Days of Inventory,Total Cost,Gross Revenue,Target Sale Per Unit,Order Date,Order Amount,Incoming order,Purchase Amount,Real Cost
0,B-BL,12,2.17,18.95,34,0.4,85.0,26.0,227.0,18.0,,,0.0,0.0,0.0
1,B-BS,9,1.61,14.95,115,0.3,383.33333333333337,14.0,135.0,13.0,,,0.0,0.0,0.0
2,B-NL,12,2.17,18.95,135,0.4,337.5,26.0,227.0,18.0,,,0.0,0.0,0.0
3,B-NS,16,1.61,14.95,172,0.5333333333333333,322.5,26.0,239.0,24.0,,,0.0,0.0,0.0
4,B-PL,16,2.17,18.95,12,0.5333333333333333,22.5,35.0,303.0,24.0,,,0.0,12.0,26.0
5,B-PS,15,1.61,14.95,131,0.5,262.0,24.0,224.0,22.0,,,0.0,0.0,0.0
6,FB-NXL,496,3.27,22.95,0,16.533333333333335,0.0,1622.0,11383.0,739.0,2024-05-19,300.0,300.0,439.0,1436.0
7,FB-NL,421,1.58,18.95,167,14.033333333333333,11.90023752969121,665.0,7978.0,627.0,,,0.0,460.0,727.0
8,FB-NS,257,1.3,14.95,-4,8.566666666666666,-0.4669260700389105,334.0,3842.0,383.0,,,0.0,387.0,503.0
9,FB-PXL,506,3.27,22.95,0,16.866666666666667,0.0,1655.0,11613.0,754.0,2024-05-19,300.0,300.0,454.0,1485.0
10,FB-PL,408,1.58,18.95,157,13.6,11.544117647058824,645.0,7732.0,608.0,,,0.0,451.0,713.0
11,FB-PS,205,1.3,14.95,-6,6.833333333333333,-0.8780487804878049,266.0,3065.0,305.0,,,0.0,311.0,404.0
12,FD-N,6,2.86,13.95,408,0.2,2040.0,17.0,84.0,9.0,,,0.0,0.0,0.0
13,FD-P,17,2.86,13.95,398,0.5666666666666667,702.3529411764706,49.0,237.0,25.0,,,0.0,0.0,0.0
14,FDN-N,98,2.33,16.95,776,3.2666666666666666,237.55102040816328,228.0,1661.0,146.0,,,0.0,0.0,0.0
15,FDN-P,125,2.33,16.95,646,4.166666666666667,155.04,291.0,2119.0,186.0,,,0.0,0.0,0.0
16,FS-NL,36,3.89,22.95,208,1.2,173.33333333333334,140.0,826.0,54.0,,,0.0,0.0,0.0
17,FS-NS,43,3.51,18.95,396,1.4333333333333333,276.27906976744185,151.0,815.0,64.0,,,0.0,0.0,0.0
18,FS-PL,40,3.89,22.95,339,1.3333333333333333,254.25,156.0,918.0,60.0,,,0.0,0.0,0.0
19,FS-PS,48,3.51,18.95,320,1.6,200.0,168.0,910.0,71.0,,,0.0,0.0,0.0
20,FBX-N,60,3.57,22.95,173,2.0,86.5,214.0,1377.0,89.0,,,0.0,0.0,0.0
21,FBX-P,70,3.57,22.95,321,2.3333333333333335,137.57142857142856,250.0,1606.0,104.0,,,0.0,0.0,0.0
22,FST-C,47,2.7,18.95,155,1.5666666666666667,98.93617021276596,127.0,891.0,70.0,,,0.0,0.0,0.0
23,FST-N,43,2.7,18.95,155,1.4333333333333333,108.13953488372093,116.0,815.0,64.0,,,0.0,0.0,0.0
24,F-BE90,17,2.1,14.95,208,0.5666666666666667,367.05882352941177,36.0,254.0,25.0,,,0.0,0.0,0.0
25,F-CH90,14,2.1,14.95,170,0.4666666666666667,364.2857142857143,29.0,209.0,21.0,,,0.0,0.0,0.0
26,F-DU90,19,2.1,14.95,200,0.6333333333333333,315.7894736842105,40.0,284.0,28.0,,,0.0,0.0,0.0
27,F-LI90,8,2.1,14.95,183,0.26666666666666666,686.25,17.0,120.0,12.0,,,0.0,0.0,0.0
28,F-MX90,342,2.1,14.95,708,11.4,62.10526315789473,718.0,5113.0,509.0,,,0.0,0.0,0.0
29,F-BE,7,1.8,12.95,97,0.23333333333333334,415.7142857142857,13.0,91.0,10.0,,,0.0,0.0,0.0
30,F-CH,9,1.8,12.95,101,0.3,336.6666666666667,16.0,117.0,13.0,,,0.0,0.0,0.0
31,F-DU,7,1.8,12.95,43,0.23333333333333334,184.28571428571428,13.0,91.0,10.0,,,0.0,0.0,0.0
32,F-LI,0,1.8,12.95,7,0.0,inf,0.0,0.0,0.0,,,0.0,0.0,0.0
33,F-MX,110,1.8,12.95,773,3.6666666666666665,210.8181818181818,198.0,1424.0,164.0,,,0.0,0.0,0.0
34,F-PB,17,1.8,12.95,125,0.5666666666666667,220.58823529411765,31.0,220.0,25.0,,,0.0,0.0,0.0
