,Product Variant SKU,Total Quantity Sold,Cost,Price,ending_quantity,Daily Sales Rate,Days of Inventory,Total Cost,Gross Revenue,Target Sale Per Unit,Order Date,Order Amount,Incoming order,Purchase Amount,Real Cost
0,B-BL,16.0,2.17,18.95,71.0,0.5333333333333333,133.125,35.0,303.0,16.0,,,0.0,0.0,0.0
1,B-BS,11.0,1.61,14.95,83.0,0.36666666666666664,226.36363636363637,18.0,164.0,11.0,,,0.0,0.0,0.0
2,B-NL,22.0,2.17,18.95,148.0,0.7333333333333333,201.81818181818184,48.0,417.0,22.0,,,0.0,0.0,0.0
3,B-NS,15.0,1.61,14.95,422.0,0.5,844.0,24.0,224.0,15.0,,,0.0,0.0,0.0
4,B-PL,32.0,2.17,18.95,164.0,1.0666666666666667,153.75,69.0,606.0,32.0,,,0.0,0.0,0.0
5,B-PS,11.0,1.61,14.95,301.0,0.36666666666666664,820.909090909091,18.0,164.0,11.0,,,0.0,0.0,0.0
6,FB-NXL,841.0,3.27,22.95,-53.0,28.033333333333335,-1.8906064209274671,2750.0,19301.0,850.0,2024-08-15,900.0,900.0,3.0,10.0
7,FB-NL,399.0,1.58,18.95,610.0,13.3,45.86466165413533,630.0,7561.0,403.0,2024-08-15,700.0,700.0,0.0,0.0
8,FB-NS,199.0,1.3,14.95,307.0,6.633333333333334,46.281407035175874,259.0,2975.0,201.0,2024-08-15,700.0,700.0,0.0,0.0
9,FB-PXL,1064.0,3.27,22.95,72.0,35.46666666666667,2.0300751879699246,3479.0,24419.0,1075.0,2024-08-15,900.0,900.0,103.0,337.0
10,FB-PL,381.0,1.58,18.95,599.0,12.7,47.16535433070867,602.0,7220.0,385.0,2024-08-15,600.0,600.0,0.0,0.0
11,FB-PS,259.0,1.3,14.95,270.0,8.633333333333333,31.274131274131275,337.0,3872.0,262.0,2024-08-15,700.0,700.0,0.0,0.0
12,FD-N,22.0,2.86,13.95,140.0,0.7333333333333333,190.90909090909093,63.0,307.0,22.0,,,0.0,0.0,0.0
13,FD-P,24.0,2.86,13.95,135.0,0.8,168.75,69.0,335.0,24.0,,,0.0,0.0,0.0
14,FDN-N,225.0,2.33,16.95,270.0,7.5,36.0,524.0,3814.0,227.0,,,0.0,0.0,0.0
15,FDN-P,223.0,2.33,16.95,104.0,7.433333333333334,13.991031390134529,520.0,3780.0,225.0,,,0.0,121.0,282.0
16,FS-NL,92.0,3.89,22.95,331.0,3.066666666666667,107.93478260869564,358.0,2111.0,93.0,,,0.0,0.0,0.0
17,FS-NS,69.0,3.51,18.95,411.0,2.3,178.69565217391306,242.0,1308.0,70.0,,,0.0,0.0,0.0
18,FS-PL,72.0,3.89,22.95,386.0,2.4,160.83333333333334,280.0,1652.0,73.0,,,0.0,0.0,0.0
19,FS-PS,77.0,3.51,18.95,339.0,2.566666666666667,132.07792207792207,270.0,1459.0,78.0,,,0.0,0.0,0.0
20,FBX-N,228.0,3.57,22.95,168.0,7.6,22.105263157894736,814.0,5233.0,230.0,2024-08-15,500.0,500.0,0.0,0.0
21,FBX-P,282.0,3.57,22.95,81.0,9.4,8.617021276595745,1007.0,6472.0,285.0,2024-08-15,500.0,500.0,0.0,0.0
22,FST-C,205.0,2.7,18.95,176.0,6.833333333333333,25.75609756097561,554.0,3885.0,207.0,2024-08-15,300.0,300.0,0.0,0.0
23,FST-N,208.0,2.7,18.95,148.0,6.933333333333334,21.346153846153847,562.0,3942.0,210.0,2024-08-15,300.0,300.0,0.0,0.0
24,F-BE90,67.0,2.1,14.95,-38.0,2.2333333333333334,-17.01492537313433,141.0,1002.0,68.0,,,0.0,106.0,223.0
25,F-CH90,54.0,2.1,14.95,-45.0,1.8,-25.0,113.0,807.0,55.0,,,0.0,100.0,210.0
26,F-DU90,53.0,2.1,14.95,68.0,1.7666666666666666,38.49056603773585,111.0,792.0,54.0,,,0.0,0.0,0.0
27,F-LI90,51.0,2.1,14.95,68.0,1.7,40.0,107.0,762.0,52.0,,,0.0,0.0,0.0
28,F-MX90,723.0,2.1,14.95,-18.0,24.1,-0.7468879668049793,1518.0,10809.0,731.0,,,0.0,749.0,1573.0
29,F-BE,29.0,1.8,12.95,37.0,0.9666666666666667,38.275862068965516,52.0,376.0,29.0,,,0.0,0.0,0.0
30,F-CH,20.0,1.8,12.95,7.0,0.6666666666666666,10.5,36.0,259.0,20.0,,,0.0,13.0,23.0
31,F-DU,19.0,1.8,12.95,18.0,0.6333333333333333,28.42105263157895,34.0,246.0,19.0,,,0.0,1.0,2.0
32,F-LI,0.0,1.8,12.95,118.0,0.0,inf,0.0,0.0,0.0,,,0.0,0.0,0.0
33,F-MX,132.0,1.8,12.95,-7.0,4.4,-1.5909090909090908,238.0,1709.0,133.0,,,0.0,140.0,252.0
34,F-PB,37.0,1.8,12.95,318.0,1.2333333333333334,257.8378378378378,67.0,479.0,37.0,,,0.0,0.0,0.0
