,B-BL,B-BS,B-NL,FB-NXL,FB-NL,FB-PXL,FB-PL,FD-P,FDN-N,FDN-P,FS-NL,FS-NS,FS-PL,FS-PS,FBX-N,FBX-P,FST-C,FST-N,FL-C,FL-N,F-BE90,F-CH90,F-DU90,F-LI90,F-MX90,F-PB
2024-08-26,31.428571428571427,54.142857142857146,89.14285714285714,360.85714285714283,921.5714285714286,0.0,630.5714285714286,101.71428571428571,0.0,0.0,146.14285714285714,304.0,236.71428571428572,160.14285714285714,127.0,0.0,202.71428571428572,340.14285714285717,69.85714285714286,136.14285714285714,0.5714285714285714,0.0,0.0,0.0,0.0,140.42857142857142
2024-08-27,29.857142857142854,53.28571428571429,87.28571428571428,297.71428571428567,907.1428571428571,0.0,614.1428571428571,100.42857142857142,0.0,0.0,137.28571428571428,299.0,228.42857142857144,151.28571428571428,111.0,0.0,190.42857142857144,329.28571428571433,63.714285714285715,130.28571428571428,0.0,0.0,0.0,0.0,0.0,135.85714285714283
2024-08-28,28.28571428571428,52.42857142857144,85.42857142857142,234.57142857142853,892.7142857142857,0.0,597.7142857142857,99.14285714285712,0.0,0.0,128.42857142857142,294.0,220.14285714285717,142.42857142857142,95.0,0.0,178.14285714285717,318.4285714285715,57.57142857142857,124.42857142857142,0.0,0.0,0.0,0.0,0.0,131.28571428571425
2024-08-29,26.714285714285708,51.571428571428584,83.57142857142856,171.4285714285714,878.2857142857142,0.0,581.2857142857142,97.85714285714283,0.0,0.0,119.57142857142856,289.0,211.8571428571429,133.57142857142856,79.0,0.0,165.8571428571429,307.57142857142867,51.42857142857142,118.57142857142856,0.0,0.0,0.0,0.0,0.0,126.71428571428568
2024-08-30,25.142857142857135,50.71428571428573,81.7142857142857,108.28571428571425,863.8571428571428,0.0,564.8571428571428,96.57142857142854,0.0,0.0,110.7142857142857,284.0,203.5714285714286,124.7142857142857,63.0,0.0,153.5714285714286,296.71428571428584,45.28571428571428,112.7142857142857,0.0,0.0,0.0,0.0,0.0,122.14285714285711
2024-08-31,23.571428571428562,49.857142857142875,79.85714285714283,45.1428571428571,849.4285714285713,0.0,548.4285714285713,95.28571428571425,0.0,0.0,101.85714285714283,279.0,195.28571428571433,115.85714285714283,47.0,0.0,141.28571428571433,285.857142857143,39.14285714285713,106.85714285714283,0.0,0.0,0.0,0.0,0.0,117.57142857142854
2024-09-01,21.99999999999999,49.00000000000002,77.99999999999997,0.0,834.9999999999999,0.0,531.9999999999999,93.99999999999996,0.0,0.0,92.99999999999997,274.0,187.00000000000006,106.99999999999997,31.0,0.0,129.00000000000006,275.00000000000017,32.999999999999986,100.99999999999997,198.57142857142858,197.28571428571428,198.71428571428572,198.85714285714286,2376.1428571428573,112.99999999999997
2024-09-02,20.428571428571416,48.14285714285717,76.14285714285711,0.0,820.5714285714284,0.0,515.5714285714284,92.71428571428567,0.0,0.0,84.14285714285711,269.0,178.71428571428578,98.14285714285711,15.0,0.0,116.71428571428577,264.14285714285734,26.857142857142843,95.14285714285711,197.14285714285717,194.57142857142856,197.42857142857144,197.71428571428572,2352.2857142857147,108.4285714285714
2024-09-03,18.857142857142843,47.28571428571431,74.28571428571425,0.0,806.142857142857,0.0,499.142857142857,91.42857142857137,0.0,0.0,75.28571428571425,264.0,170.4285714285715,89.28571428571425,0.0,0.0,104.42857142857147,253.28571428571448,20.7142857142857,89.28571428571425,195.71428571428575,191.85714285714283,196.14285714285717,196.57142857142858,2328.428571428572,103.85714285714283
2024-09-04,17.28571428571427,46.42857142857146,72.42857142857139,0.0,791.7142857142856,0.0,482.71428571428555,90.14285714285708,0.0,0.0,66.42857142857139,259.0,162.14285714285722,80.42857142857139,0.0,0.0,92.14285714285718,242.42857142857162,14.571428571428559,83.42857142857139,194.28571428571433,189.1428571428571,194.8571428571429,195.42857142857144,2304.5714285714294,99.28571428571426
2024-09-05,15.7142857142857,45.571428571428605,70.57142857142853,0.0,777.2857142857141,0.0,466.2857142857141,88.85714285714279,0.0,0.0,57.57142857142853,254.0,153.85714285714295,71.57142857142853,0.0,0.0,79.85714285714289,231.57142857142875,8.428571428571416,77.57142857142853,192.85714285714292,186.4285714285714,193.5714285714286,194.2857142857143,2280.7142857142867,94.7142857142857
2024-09-06,14.142857142857128,44.71428571428575,68.71428571428567,0.0,762.8571428571427,0.0,449.85714285714266,87.5714285714285,0.0,0.0,48.714285714285666,249.0,145.57142857142867,62.714285714285666,0.0,0.0,67.5714285714286,220.7142857142859,2.285714285714273,71.71428571428567,191.4285714285715,183.71428571428567,192.28571428571433,193.14285714285717,2256.857142857144,90.14285714285712
2024-09-07,12.571428571428557,43.8571428571429,66.8571428571428,0.0,748.4285714285712,0.0,433.4285714285712,86.2857142857142,0.0,0.0,39.857142857142804,244.0,137.2857142857144,53.857142857142804,0.0,0.0,55.28571428571431,209.85714285714303,0.0,65.8571428571428,190.00000000000009,180.99999999999994,191.00000000000006,192.00000000000003,2233.0000000000014,85.57142857142856
2024-09-08,10.999999999999986,43.00000000000004,64.99999999999994,0.0,733.9999999999998,0.0,416.9999999999998,84.99999999999991,0.0,0.0,30.999999999999947,239.0,129.0000000000001,44.99999999999994,0.0,0.0,43.00000000000003,199.00000000000017,0.0,59.99999999999995,188.57142857142867,178.28571428571422,189.71428571428578,190.8571428571429,2209.1428571428587,80.99999999999999
