,Product Variant SKU,Total Quantity Sold,Cost,Price,ending_quantity,Daily Sales Rate,Days of Inventory,Total Cost,Gross Revenue,Target Sale Per Unit,Order Date,Order Amount,Incoming order,Purchase Amount,Real Cost
0,B-BL,31,2.17,18.95,143,1.0333333333333334,138.38709677419354,67.0,587.0,78.0,,,0.0,0.0,0.0
1,B-BS,22,1.61,14.95,33,0.7333333333333333,45.0,35.0,329.0,55.0,,,0.0,22.0,35.0
2,B-NL,39,2.17,18.95,34,1.3,26.153846153846153,85.0,739.0,98.0,2024-01-06,200.0,200.0,0.0,0.0
3,B-NS,37,1.61,14.95,232,1.2333333333333334,188.1081081081081,60.0,553.0,93.0,2024-01-06,200.0,200.0,0.0,0.0
4,B-PL,26,2.17,18.95,73,0.8666666666666667,84.23076923076923,56.0,493.0,65.0,2024-01-06,200.0,200.0,0.0,0.0
5,B-PS,53,1.61,14.95,86,1.7666666666666666,48.67924528301887,85.0,792.0,133.0,2024-01-06,200.0,200.0,0.0,0.0
6,FB-NXL,67,3.27,22.95,279,2.2333333333333334,124.92537313432835,219.0,1538.0,168.0,2024-01-06,200.0,200.0,0.0,0.0
7,FB-NL,49,1.58,18.95,177,1.6333333333333333,108.36734693877551,77.0,929.0,123.0,,,0.0,0.0,0.0
8,FB-NS,38,1.3,14.95,122,1.2666666666666666,96.31578947368422,49.0,568.0,95.0,,,0.0,0.0,0.0
9,FB-PXL,66,3.27,22.95,266,2.2,120.90909090909089,216.0,1515.0,166.0,2024-01-06,200.0,200.0,0.0,0.0
10,FB-PL,63,1.58,18.95,149,2.1,70.95238095238095,100.0,1194.0,158.0,,,0.0,9.0,14.0
11,FB-PS,37,1.3,14.95,151,1.2333333333333334,122.43243243243242,48.0,553.0,93.0,,,0.0,0.0,0.0
12,FD-N,39,2.86,13.95,498,1.3,383.07692307692304,112.0,544.0,98.0,,,0.0,0.0,0.0
13,FD-P,31,2.86,13.95,516,1.0333333333333334,499.3548387096774,89.0,432.0,78.0,,,0.0,0.0,0.0
14,FDN-N,185,2.33,16.95,105,6.166666666666667,17.027027027027025,431.0,3136.0,464.0,2024-01-20,500.0,500.0,0.0,0.0
15,FDN-P,203,2.33,16.95,99,6.766666666666667,14.630541871921183,473.0,3441.0,510.0,2024-01-20,500.0,500.0,0.0,0.0
16,FS-NL,99,3.89,22.95,68,3.3,20.606060606060606,385.0,2272.0,248.0,2024-02-10,200.0,200.0,0.0,0.0
17,FS-NS,75,3.51,18.95,137,2.5,54.8,263.0,1421.0,188.0,2024-02-11,200.0,200.0,0.0,0.0
18,FS-PL,90,3.89,22.95,108,3.0,36.0,350.0,2066.0,226.0,2024-02-12,200.0,200.0,0.0,0.0
19,FS-PS,88,3.51,18.95,122,2.933333333333333,41.59090909090909,309.0,1668.0,221.0,2024-02-13,200.0,200.0,0.0,0.0
20,FBX-N,63,3.57,22.95,255,2.1,121.42857142857142,225.0,1446.0,158.0,2024-01-06,200.0,200.0,0.0,0.0
21,FBX-P,74,3.57,22.95,251,2.466666666666667,101.75675675675676,264.0,1698.0,186.0,2024-01-06,200.0,200.0,0.0,0.0
22,F-BE90,40,2.1,14.95,6,1.3333333333333333,4.5,84.0,598.0,100.0,2024-02-15,100.0,100.0,0.0,0.0
23,F-CH90,31,2.1,14.95,1,1.0333333333333334,0.9677419354838709,65.0,463.0,78.0,2024-02-16,100.0,100.0,0.0,0.0
24,F-DU90,27,2.1,14.95,35,0.9,38.888888888888886,57.0,404.0,68.0,2024-02-17,100.0,100.0,0.0,0.0
25,F-LI90,31,2.1,14.95,10,1.0333333333333334,9.677419354838708,65.0,463.0,78.0,2024-02-18,100.0,100.0,0.0,0.0
26,F-MX90,512,2.1,14.95,276,17.066666666666666,16.171875,1075.0,7654.0,1285.0,2024-02-19,600.0,600.0,409.0,859.0
27,F-BE,6,1.8,12.95,124,0.2,620.0,11.0,78.0,15.0,,,0.0,0.0,0.0
28,F-CH,9,1.8,12.95,129,0.3,430.0,16.0,117.0,23.0,,,0.0,0.0,0.0
29,F-DU,7,1.8,12.95,78,0.23333333333333334,334.2857142857143,13.0,91.0,18.0,,,0.0,0.0,0.0
30,F-LI,0,1.8,12.95,26,0.0,inf,0.0,0.0,0.0,,,0.0,0.0,0.0
31,F-MX,136,1.8,12.95,1048,4.533333333333333,231.1764705882353,245.0,1761.0,341.0,,,0.0,0.0,0.0
32,F-PB,23,1.8,12.95,10,0.7666666666666667,13.043478260869565,41.0,298.0,58.0,,,0.0,48.0,86.0
