,B-BS,B-NL,B-PS,FDN-N,FDN-P,FS-NL,FS-NS,FS-PL,FS-PS,F-BE90,F-CH90,F-DU90,F-LI90,F-MX90,F-PB
2024-01-09,32.266666666666666,32.7,84.23333333333333,98.83333333333333,92.23333333333333,64.7,134.5,105.0,119.06666666666666,4.666666666666667,0.0,34.1,8.966666666666667,258.93333333333334,9.233333333333333
2024-01-10,31.53333333333333,31.400000000000002,82.46666666666667,92.66666666666666,85.46666666666667,61.400000000000006,132.0,102.0,116.13333333333333,3.333333333333334,0.0,33.2,7.933333333333334,241.86666666666667,8.466666666666665
2024-01-11,30.799999999999997,30.1,80.7,86.49999999999999,78.7,58.10000000000001,129.5,99.0,113.19999999999999,2.000000000000001,0.0,32.300000000000004,6.9,224.8,7.699999999999998
2024-01-12,30.066666666666663,28.8,78.93333333333334,80.33333333333331,71.93333333333334,54.80000000000001,127.0,96.0,110.26666666666665,0.6666666666666676,0.0,31.400000000000006,5.866666666666667,207.73333333333335,6.933333333333332
2024-01-13,29.33333333333333,27.5,77.16666666666667,74.16666666666664,65.16666666666667,51.500000000000014,124.5,93.0,107.33333333333331,0.0,0.0,30.500000000000007,4.833333333333334,190.66666666666669,6.166666666666665
2024-01-14,28.599999999999994,26.2,75.4,67.99999999999997,58.400000000000006,48.20000000000002,122.0,90.0,104.39999999999998,0.0,0.0,29.60000000000001,3.8000000000000007,173.60000000000002,5.399999999999999
2024-01-15,27.86666666666666,24.9,73.63333333333334,61.83333333333331,51.63333333333334,44.90000000000002,119.5,87.0,101.46666666666664,0.0,0.0,28.70000000000001,2.7666666666666675,156.53333333333336,4.633333333333332
2024-01-16,27.133333333333326,23.599999999999998,71.86666666666667,55.66666666666664,44.866666666666674,41.60000000000002,117.0,84.0,98.5333333333333,0.0,0.0,27.80000000000001,1.733333333333334,139.4666666666667,3.8666666666666654
2024-01-17,26.39999999999999,22.299999999999997,70.10000000000001,49.49999999999998,38.10000000000001,38.300000000000026,114.5,81.0,95.59999999999997,0.0,0.0,26.900000000000013,0.7000000000000006,122.40000000000003,3.0999999999999988
2024-01-18,25.666666666666657,20.999999999999996,68.33333333333334,43.333333333333314,31.333333333333343,35.00000000000003,112.0,78.0,92.66666666666663,0.0,0.0,26.000000000000014,0.0,105.33333333333337,2.333333333333332
2024-01-19,24.933333333333323,19.699999999999996,66.56666666666668,37.16666666666665,24.566666666666677,31.700000000000028,109.5,75.0,89.73333333333329,0.0,0.0,25.100000000000016,0.0,88.26666666666671,1.5666666666666655
2024-01-20,24.19999999999999,18.399999999999995,64.80000000000001,531.0,517.8000000000001,28.400000000000027,107.0,72.0,86.79999999999995,0.0,0.0,24.200000000000017,0.0,71.20000000000005,0.7999999999999988
2024-01-21,23.466666666666654,17.099999999999994,63.033333333333346,524.8333333333334,511.0333333333334,25.100000000000026,104.5,69.0,83.86666666666662,0.0,0.0,23.30000000000002,0.0,54.13333333333338,0.033333333333332105
2024-01-22,22.73333333333332,15.799999999999994,61.26666666666668,518.6666666666667,504.26666666666677,21.800000000000026,102.0,66.0,80.93333333333328,0.0,0.0,22.40000000000002,0.0,37.06666666666672,0.0
2024-01-23,21.999999999999986,14.499999999999993,59.500000000000014,512.5000000000001,497.5000000000001,18.500000000000025,99.5,63.0,77.99999999999994,0.0,0.0,21.50000000000002,0.0,20.000000000000053,0.0
2024-01-24,21.26666666666665,13.199999999999992,57.73333333333335,506.3333333333334,490.73333333333346,15.200000000000024,97.0,60.0,75.0666666666666,0.0,0.0,20.600000000000023,0.0,2.933333333333387,0.0
2024-01-25,20.533333333333317,11.899999999999991,55.96666666666668,500.16666666666674,483.9666666666668,11.900000000000023,94.5,57.0,72.13333333333327,0.0,0.0,19.700000000000024,0.0,0.0,0.0
2024-01-26,19.799999999999983,10.59999999999999,54.20000000000002,494.00000000000006,477.20000000000016,8.600000000000023,92.0,54.0,69.19999999999993,0.0,0.0,18.800000000000026,0.0,0.0,0.0
2024-01-27,19.06666666666665,9.29999999999999,52.43333333333335,487.83333333333337,470.4333333333335,5.300000000000023,89.5,51.0,66.2666666666666,0.0,0.0,17.900000000000027,0.0,0.0,0.0
2024-01-28,18.333333333333314,7.99999999999999,50.666666666666686,481.6666666666667,463.66666666666686,2.000000000000023,87.0,48.0,63.333333333333265,0.0,0.0,17.00000000000003,0.0,0.0,0.0
2024-01-29,17.59999999999998,6.69999999999999,48.90000000000002,475.5,456.9000000000002,0.0,84.5,45.0,60.399999999999935,0.0,0.0,16.10000000000003,0.0,0.0,0.0
2024-01-30,16.866666666666646,5.399999999999991,47.133333333333354,469.3333333333333,450.13333333333355,0.0,82.0,42.0,57.466666666666605,0.0,0.0,15.20000000000003,0.0,0.0,0.0
2024-01-31,16.13333333333331,4.099999999999991,45.36666666666669,463.16666666666663,443.3666666666669,0.0,79.5,39.0,54.533333333333275,0.0,0.0,14.30000000000003,0.0,0.0,0.0
2024-02-01,15.399999999999979,2.799999999999991,43.60000000000002,456.99999999999994,436.60000000000025,0.0,77.0,36.0,51.599999999999945,0.0,0.0,13.400000000000029,0.0,0.0,0.0
2024-02-02,14.666666666666647,1.499999999999991,41.83333333333336,450.83333333333326,429.8333333333336,0.0,74.5,33.0,48.666666666666615,0.0,0.0,12.500000000000028,0.0,0.0,0.0
2024-02-03,13.933333333333314,0.19999999999999085,40.06666666666669,444.6666666666666,423.06666666666695,0.0,72.0,30.0,45.733333333333285,0.0,0.0,11.600000000000028,0.0,0.0,0.0
2024-02-04,13.199999999999982,0.0,38.300000000000026,438.4999999999999,416.3000000000003,0.0,69.5,27.0,42.799999999999955,0.0,0.0,10.700000000000028,0.0,0.0,0.0
2024-02-05,12.466666666666649,0.0,36.53333333333336,432.3333333333332,409.53333333333364,0.0,67.0,24.0,39.866666666666625,0.0,0.0,9.800000000000027,0.0,0.0,0.0
2024-02-06,11.733333333333317,0.0,34.766666666666694,426.1666666666665,402.766666666667,0.0,64.5,21.0,36.933333333333294,0.0,0.0,8.900000000000027,0.0,0.0,0.0
2024-02-07,10.999999999999984,0.0,33.00000000000003,419.99999999999983,396.00000000000034,0.0,62.0,18.0,33.999999999999964,0.0,0.0,8.000000000000027,0.0,0.0,0.0
2024-02-08,10.266666666666652,0.0,31.233333333333363,413.83333333333314,389.2333333333337,0.0,59.5,15.0,31.06666666666663,0.0,0.0,7.100000000000026,0.0,0.0,0.0
2024-02-09,9.533333333333319,0.0,29.466666666666697,407.66666666666646,382.46666666666704,0.0,57.0,12.0,28.133333333333297,0.0,0.0,6.200000000000026,0.0,0.0,0.0
2024-02-10,8.799999999999986,0.0,27.70000000000003,401.4999999999998,375.7000000000004,196.7,54.5,9.0,25.199999999999964,0.0,0.0,5.300000000000026,0.0,0.0,0.0
2024-02-11,8.066666666666654,0.0,25.933333333333366,395.3333333333331,368.93333333333374,193.39999999999998,252.0,6.0,22.26666666666663,0.0,0.0,4.400000000000025,0.0,0.0,0.0
2024-02-12,7.333333333333321,0.0,24.1666666666667,389.1666666666664,362.1666666666671,190.09999999999997,249.5,203.0,19.333333333333297,0.0,0.0,3.5000000000000253,0.0,0.0,0.0
2024-02-13,6.599999999999987,0.0,22.400000000000034,382.9999999999997,355.40000000000043,186.79999999999995,247.0,200.0,216.39999999999995,0.0,0.0,2.6000000000000254,0.0,0.0,0.0
2024-02-14,5.866666666666654,0.0,20.63333333333337,376.83333333333303,348.6333333333338,183.49999999999994,244.5,197.0,213.4666666666666,0.0,0.0,1.7000000000000255,0.0,0.0,0.0
2024-02-15,5.13333333333332,0.0,18.866666666666703,370.66666666666634,341.86666666666713,180.19999999999993,242.0,194.0,210.53333333333327,98.66666666666667,0.0,0.8000000000000255,0.0,0.0,0.0
2024-02-16,4.399999999999987,0.0,17.100000000000037,364.49999999999966,335.1000000000005,176.89999999999992,239.5,191.0,207.59999999999994,97.33333333333334,98.96666666666667,0.0,0.0,0.0,0.0
2024-02-17,3.6666666666666536,0.0,15.333333333333371,358.333333333333,328.3333333333338,173.5999999999999,237.0,188.0,204.6666666666666,96.00000000000001,97.93333333333334,99.1,0.0,0.0,0.0
2024-02-18,2.9333333333333202,0.0,13.566666666666706,352.1666666666663,321.5666666666672,170.2999999999999,234.5,185.0,201.73333333333326,94.66666666666669,96.9,98.19999999999999,98.96666666666667,0.0,0.0
2024-02-19,2.199999999999987,0.0,11.80000000000004,345.9999999999996,314.8000000000005,166.9999999999999,232.0,182.0,198.79999999999993,93.33333333333336,95.86666666666667,97.29999999999998,97.93333333333334,582.9333333333333,0.0
2024-02-20,1.4666666666666535,0.0,10.033333333333374,339.8333333333329,308.03333333333387,163.69999999999987,229.5,179.0,195.8666666666666,92.00000000000003,94.83333333333334,96.39999999999998,96.9,565.8666666666666,0.0
2024-02-21,0.7333333333333202,0.0,8.266666666666708,333.66666666666623,301.2666666666672,160.39999999999986,227.0,176.0,192.93333333333325,90.6666666666667,93.80000000000001,95.49999999999997,95.86666666666667,548.7999999999998,0.0
2024-02-22,0.0,0.0,6.500000000000042,327.49999999999955,294.50000000000057,157.09999999999985,224.5,173.0,189.99999999999991,89.33333333333337,92.76666666666668,94.59999999999997,94.83333333333334,531.7333333333331,0.0
2024-02-23,0.0,0.0,4.733333333333375,321.33333333333286,287.7333333333339,153.79999999999984,222.0,170.0,187.06666666666658,88.00000000000004,91.73333333333335,93.69999999999996,93.80000000000001,514.6666666666664,0.0
2024-02-24,0.0,0.0,2.9666666666667085,315.1666666666662,280.96666666666727,150.49999999999983,219.5,167.0,184.13333333333324,86.66666666666671,90.70000000000002,92.79999999999995,92.76666666666668,497.59999999999974,0.0
2024-02-25,0.0,0.0,1.200000000000042,308.9999999999995,274.2000000000006,147.19999999999982,217.0,164.0,181.1999999999999,85.33333333333339,89.66666666666669,91.89999999999995,91.73333333333335,480.5333333333331,0.0
2024-02-26,0.0,0.0,0.0,302.8333333333328,267.43333333333396,143.8999999999998,214.5,161.0,178.26666666666657,84.00000000000006,88.63333333333335,90.99999999999994,90.70000000000002,463.4666666666664,0.0
2024-02-27,0.0,0.0,0.0,296.6666666666661,260.6666666666673,140.5999999999998,212.0,158.0,175.33333333333323,82.66666666666673,87.60000000000002,90.09999999999994,89.66666666666669,446.39999999999975,0.0
2024-02-28,0.0,0.0,0.0,290.49999999999943,253.90000000000063,137.29999999999978,209.5,155.0,172.3999999999999,81.3333333333334,86.56666666666669,89.19999999999993,88.63333333333335,429.3333333333331,0.0
2024-02-29,0.0,0.0,0.0,284.33333333333275,247.13333333333395,133.99999999999977,207.0,152.0,169.46666666666655,80.00000000000007,85.53333333333336,88.29999999999993,87.60000000000002,412.2666666666664,0.0
2024-03-01,0.0,0.0,0.0,278.16666666666606,240.36666666666727,130.69999999999976,204.5,149.0,166.53333333333322,78.66666666666674,84.50000000000003,87.39999999999992,86.56666666666669,395.19999999999976,0.0
2024-03-02,0.0,0.0,0.0,271.9999999999994,233.6000000000006,127.39999999999976,202.0,146.0,163.59999999999988,77.33333333333341,83.4666666666667,86.49999999999991,85.53333333333336,378.1333333333331,0.0
2024-03-03,0.0,0.0,0.0,265.8333333333327,226.8333333333339,124.09999999999977,199.5,143.0,160.66666666666654,76.00000000000009,82.43333333333337,85.59999999999991,84.50000000000003,361.06666666666644,0.0
2024-03-04,0.0,0.0,0.0,259.666666666666,220.06666666666723,120.79999999999977,197.0,140.0,157.7333333333332,74.66666666666676,81.40000000000003,84.6999999999999,83.4666666666667,343.9999999999998,0.0
2024-03-05,0.0,0.0,0.0,253.49999999999935,213.30000000000055,117.49999999999977,194.5,137.0,154.79999999999987,73.33333333333343,80.3666666666667,83.7999999999999,82.43333333333337,326.9333333333331,0.0
2024-03-06,0.0,0.0,0.0,247.3333333333327,206.53333333333387,114.19999999999978,192.0,134.0,151.86666666666653,72.0000000000001,79.33333333333337,82.89999999999989,81.40000000000003,309.86666666666645,0.0
2024-03-07,0.0,0.0,0.0,241.16666666666603,199.7666666666672,110.89999999999978,189.5,131.0,148.9333333333332,70.66666666666677,78.30000000000004,81.99999999999989,80.3666666666667,292.7999999999998,0.0
2024-03-08,0.0,0.0,0.0,234.99999999999937,193.0000000000005,107.59999999999978,187.0,128.0,145.99999999999986,69.33333333333344,77.26666666666671,81.09999999999988,79.33333333333337,275.7333333333331,0.0
2024-03-09,0.0,0.0,0.0,228.83333333333272,186.23333333333383,104.29999999999978,184.5,125.0,143.06666666666652,68.00000000000011,76.23333333333338,80.19999999999987,78.30000000000004,258.66666666666646,0.0
2024-03-10,0.0,0.0,0.0,222.66666666666606,179.46666666666715,100.99999999999979,182.0,122.0,140.13333333333318,66.66666666666679,75.20000000000005,79.29999999999987,77.26666666666671,241.5999999999998,0.0
2024-03-11,0.0,0.0,0.0,216.4999999999994,172.70000000000047,97.69999999999979,179.5,119.0,137.19999999999985,65.33333333333346,74.16666666666671,78.39999999999986,76.23333333333338,224.53333333333313,0.0
2024-03-12,0.0,0.0,0.0,210.33333333333275,165.9333333333338,94.39999999999979,177.0,116.0,134.2666666666665,64.00000000000013,73.13333333333338,77.49999999999986,75.20000000000005,207.46666666666647,0.0
2024-03-13,0.0,0.0,0.0,204.1666666666661,159.1666666666671,91.0999999999998,174.5,113.0,131.33333333333317,62.66666666666679,72.10000000000005,76.59999999999985,74.16666666666671,190.3999999999998,0.0
2024-03-14,0.0,0.0,0.0,197.99999999999943,152.40000000000043,87.7999999999998,172.0,110.0,128.39999999999984,61.33333333333346,71.06666666666672,75.69999999999985,73.13333333333338,173.33333333333314,0.0
2024-03-15,0.0,0.0,0.0,191.83333333333277,145.63333333333375,84.4999999999998,169.5,107.0,125.4666666666665,60.00000000000012,70.03333333333339,74.79999999999984,72.10000000000005,156.26666666666648,0.0
2024-03-16,0.0,0.0,0.0,185.66666666666612,138.86666666666707,81.1999999999998,167.0,104.0,122.53333333333316,58.666666666666785,69.00000000000006,73.89999999999984,71.06666666666672,139.19999999999982,0.0
2024-03-17,0.0,0.0,0.0,179.49999999999946,132.1000000000004,77.8999999999998,164.5,101.0,119.59999999999982,57.33333333333345,67.96666666666673,72.99999999999983,70.03333333333339,122.13333333333316,0.0
2024-03-18,0.0,0.0,0.0,173.3333333333328,125.33333333333373,74.59999999999981,162.0,98.0,116.66666666666649,56.000000000000114,66.9333333333334,72.09999999999982,69.00000000000006,105.06666666666649,0.0
2024-03-19,0.0,0.0,0.0,167.16666666666615,118.56666666666706,71.29999999999981,159.5,95.0,113.73333333333315,54.66666666666678,65.90000000000006,71.19999999999982,67.96666666666673,87.99999999999983,0.0
2024-03-20,0.0,0.0,0.0,160.9999999999995,111.8000000000004,67.99999999999982,157.0,92.0,110.79999999999981,53.33333333333344,64.86666666666673,70.29999999999981,66.9333333333334,70.93333333333317,0.0
2024-03-21,0.0,0.0,0.0,154.83333333333283,105.03333333333373,64.69999999999982,154.5,89.0,107.86666666666648,52.00000000000011,63.8333333333334,69.3999999999998,65.90000000000006,53.866666666666504,0.0
2024-03-22,0.0,0.0,0.0,148.66666666666617,98.26666666666706,61.39999999999982,152.0,86.0,104.93333333333314,50.66666666666677,62.80000000000007,68.4999999999998,64.86666666666673,36.79999999999984,0.0
2024-03-23,0.0,0.0,0.0,142.49999999999952,91.5000000000004,58.099999999999824,149.5,83.0,101.9999999999998,49.333333333333435,61.76666666666674,67.5999999999998,63.8333333333334,19.733333333333174,0.0
2024-03-24,0.0,0.0,0.0,136.33333333333286,84.73333333333373,54.79999999999983,147.0,80.0,99.06666666666646,48.0000000000001,60.733333333333405,66.69999999999979,62.80000000000007,2.666666666666508,0.0
2024-03-25,0.0,0.0,0.0,130.1666666666662,77.96666666666707,51.49999999999983,144.5,77.0,96.13333333333313,46.666666666666764,59.700000000000074,65.79999999999978,61.76666666666674,0.0,0.0
2024-03-26,0.0,0.0,0.0,123.99999999999953,71.2000000000004,48.19999999999983,142.0,74.0,93.19999999999979,45.33333333333343,58.66666666666674,64.89999999999978,60.733333333333405,0.0,0.0
2024-03-27,0.0,0.0,0.0,117.83333333333286,64.43333333333374,44.899999999999835,139.5,71.0,90.26666666666645,44.00000000000009,57.63333333333341,63.99999999999978,59.700000000000074,0.0,0.0
2024-03-28,0.0,0.0,0.0,111.66666666666619,57.66666666666707,41.59999999999984,137.0,68.0,87.33333333333312,42.66666666666676,56.60000000000008,63.09999999999978,58.66666666666674,0.0,0.0
2024-03-29,0.0,0.0,0.0,105.49999999999952,50.900000000000404,38.29999999999984,134.5,65.0,84.39999999999978,41.33333333333342,55.56666666666675,62.19999999999978,57.63333333333341,0.0,0.0
2024-03-30,0.0,0.0,0.0,99.33333333333285,44.13333333333374,34.999999999999844,132.0,62.0,81.46666666666644,40.000000000000085,54.53333333333342,61.299999999999784,56.60000000000008,0.0,0.0
2024-03-31,0.0,0.0,0.0,93.16666666666617,37.36666666666707,31.699999999999843,129.5,59.0,78.5333333333331,38.66666666666675,53.500000000000085,60.399999999999785,55.56666666666675,0.0,0.0
2024-04-01,0.0,0.0,0.0,86.9999999999995,30.600000000000406,28.399999999999842,127.0,56.0,75.59999999999977,37.333333333333414,52.466666666666754,59.49999999999979,54.53333333333342,0.0,0.0
2024-04-02,0.0,0.0,0.0,80.83333333333283,23.83333333333374,25.09999999999984,124.5,53.0,72.66666666666643,36.00000000000008,51.43333333333342,58.59999999999979,53.500000000000085,0.0,0.0
2024-04-03,0.0,0.0,0.0,74.66666666666616,17.066666666667075,21.79999999999984,122.0,50.0,69.73333333333309,34.66666666666674,50.40000000000009,57.69999999999979,52.466666666666754,0.0,0.0
2024-04-04,0.0,0.0,0.0,68.49999999999949,10.30000000000041,18.49999999999984,119.5,47.0,66.79999999999976,33.33333333333341,49.36666666666676,56.79999999999979,51.43333333333342,0.0,0.0
2024-04-05,0.0,0.0,0.0,62.333333333332824,3.5333333333337427,15.19999999999984,117.0,44.0,63.866666666666426,32.00000000000007,48.33333333333343,55.89999999999979,50.40000000000009,0.0,0.0
2024-04-06,0.0,0.0,0.0,56.16666666666616,0.0,11.899999999999839,114.5,41.0,60.933333333333096,30.66666666666674,47.3000000000001,54.999999999999794,49.36666666666676,0.0,0.0
2024-04-07,0.0,0.0,0.0,49.999999999999496,0.0,8.599999999999838,112.0,38.0,57.999999999999766,29.333333333333407,46.266666666666765,54.099999999999795,48.33333333333343,0.0,0.0
