,B-BL,B-BS,B-NL,FB-NXL,FB-NL,FB-NS,FB-PXL,FB-PL,FB-PS,FD-N,FD-P,FDN-N,FDN-P,FS-NL,FS-NS,FS-PL,FS-PS,FBX-N,FBX-P,FST-C,FST-N,FL-C,FL-N,F-BE90,F-CH90,F-DU90,F-LI90,F-MX90,F-PB
2024-09-24,1.0,14.0,44.0,1395.0,492.0,562.0,1442.0,508.0,448.0,72.0,60.0,359.0,334.0,191.0,164.0,215.0,149.0,476.0,482.0,478.0,427.0,163.0,142.0,0,1.0,10.0,11.0,0,5.0
2024-09-25,0.0,13.0,42.0,1312.0,469.0,555.0,1368.0,482.0,438.0,71.0,58.0,344.0,320.0,182.0,159.0,207.0,140.0,452.0,458.0,464.0,413.0,157.0,134.0,0,0.0,8.0,9.0,0,0.0
2024-09-26,0.0,12.0,40.0,1229.0,446.0,548.0,1294.0,456.0,428.0,70.0,56.0,329.0,306.0,173.0,154.0,199.0,131.0,428.0,434.0,450.0,399.0,151.0,126.0,0,0.0,6.0,7.0,0,0.0
2024-09-27,0.0,11.0,38.0,1146.0,423.0,541.0,1220.0,430.0,418.0,69.0,54.0,314.0,292.0,164.0,149.0,191.0,122.0,404.0,410.0,436.0,385.0,145.0,118.0,0,0.0,4.0,5.0,0,0.0
2024-09-28,0.0,10.0,36.0,1063.0,400.0,534.0,1146.0,404.0,408.0,68.0,52.0,299.0,278.0,155.0,144.0,183.0,113.0,380.0,386.0,422.0,371.0,139.0,110.0,0,0.0,2.0,3.0,0,0.0
2024-09-29,0.0,9.0,34.0,980.0,377.0,527.0,1072.0,378.0,398.0,67.0,50.0,284.0,264.0,146.0,139.0,175.0,104.0,356.0,362.0,408.0,357.0,133.0,102.0,0,0.0,0.0,1.0,0,0.0
2024-09-30,0.0,8.0,32.0,897.0,354.0,520.0,998.0,352.0,388.0,66.0,48.0,269.0,250.0,137.0,134.0,167.0,95.0,332.0,338.0,394.0,343.0,127.0,94.0,0,0.0,0.0,0.0,0,0.0
2024-10-01,0.0,7.0,30.0,814.0,331.0,513.0,924.0,326.0,378.0,65.0,46.0,254.0,236.0,128.0,129.0,159.0,86.0,308.0,314.0,380.0,329.0,121.0,86.0,0,0.0,0.0,0.0,0,0.0
2024-10-02,0.0,6.0,28.0,731.0,308.0,506.0,850.0,300.0,368.0,64.0,44.0,239.0,222.0,119.0,124.0,151.0,77.0,284.0,290.0,366.0,315.0,115.0,78.0,0,0.0,0.0,0.0,0,0.0
2024-10-03,0.0,5.0,26.0,648.0,285.0,499.0,776.0,274.0,358.0,63.0,42.0,224.0,208.0,110.0,119.0,143.0,68.0,260.0,266.0,352.0,301.0,109.0,70.0,0,0.0,0.0,0.0,0,0.0
2024-10-04,0.0,4.0,24.0,565.0,262.0,492.0,702.0,248.0,348.0,62.0,40.0,209.0,194.0,101.0,114.0,135.0,59.0,236.0,242.0,338.0,287.0,103.0,62.0,0,0.0,0.0,0.0,0,0.0
2024-10-05,0.0,3.0,22.0,482.0,239.0,485.0,628.0,222.0,338.0,61.0,38.0,194.0,180.0,92.0,109.0,127.0,50.0,212.0,218.0,324.0,273.0,97.0,54.0,0,0.0,0.0,0.0,0,0.0
2024-10-06,0.0,2.0,20.0,399.0,216.0,478.0,554.0,196.0,328.0,60.0,36.0,179.0,166.0,83.0,104.0,119.0,41.0,188.0,194.0,310.0,259.0,91.0,46.0,0,0.0,0.0,0.0,0,0.0
2024-10-07,0.0,1.0,18.0,316.0,193.0,471.0,480.0,170.0,318.0,59.0,34.0,164.0,152.0,74.0,99.0,111.0,32.0,164.0,170.0,296.0,245.0,85.0,38.0,0,0.0,0.0,0.0,0,0.0
2024-10-08,0.0,0.0,16.0,233.0,170.0,464.0,406.0,144.0,308.0,58.0,32.0,149.0,138.0,65.0,94.0,103.0,23.0,140.0,146.0,282.0,231.0,79.0,30.0,0,0.0,0.0,0.0,0,0.0
2024-10-09,0.0,0.0,14.0,150.0,147.0,457.0,332.0,118.0,298.0,57.0,30.0,134.0,124.0,56.0,89.0,95.0,14.0,116.0,122.0,268.0,217.0,73.0,22.0,0,0.0,0.0,0.0,0,0.0
