,B-BS,B-NL,B-PS,FB-NXL,FDN-N,FDN-P,FS-NL,FS-PL,FBX-N,FBX-P,F-BE90,F-CH90,F-MX90,F-PB
2024-01-04,37.333333333333336,32.96666666666667,61.5,88.26666666666667,131.93333333333334,137.93333333333334,80.43333333333334,118.53333333333333,54.2,62.233333333333334,45.93333333333333,30.233333333333334,791.1666666666666,11.433333333333334
2024-01-05,36.66666666666667,31.933333333333334,60.0,86.53333333333333,126.86666666666667,132.86666666666667,77.86666666666667,116.06666666666666,52.400000000000006,60.46666666666667,44.86666666666666,29.46666666666667,777.3333333333333,10.866666666666667
2024-01-06,36.00000000000001,230.9,258.5,284.79999999999995,121.80000000000001,127.80000000000001,75.30000000000001,113.6,250.6,258.70000000000005,43.79999999999999,28.700000000000003,763.4999999999999,10.3
2024-01-07,35.33333333333334,229.86666666666667,257.0,283.0666666666666,116.73333333333335,122.73333333333335,72.73333333333335,111.13333333333333,248.79999999999998,256.9333333333334,42.73333333333332,27.933333333333337,749.6666666666665,9.733333333333334
2024-01-08,34.66666666666668,228.83333333333334,255.5,281.33333333333326,111.66666666666669,117.66666666666669,70.16666666666669,108.66666666666666,246.99999999999997,255.1666666666667,41.66666666666665,27.16666666666667,735.8333333333331,9.166666666666668
2024-01-09,34.000000000000014,227.8,254.0,279.5999999999999,106.60000000000002,112.60000000000002,67.60000000000002,106.19999999999999,245.19999999999996,253.40000000000003,40.59999999999998,26.400000000000006,721.9999999999998,8.600000000000001
2024-01-10,33.33333333333335,226.76666666666668,252.5,277.86666666666656,101.53333333333336,107.53333333333336,65.03333333333336,103.73333333333332,243.39999999999995,251.63333333333335,39.53333333333331,25.63333333333334,708.1666666666664,8.033333333333335
2024-01-11,32.666666666666686,225.73333333333335,251.0,276.1333333333332,96.4666666666667,102.4666666666667,62.46666666666669,101.26666666666665,241.59999999999994,249.86666666666667,38.46666666666664,24.866666666666674,694.333333333333,7.466666666666669
2024-01-12,32.00000000000002,224.70000000000002,249.5,274.39999999999986,91.40000000000003,97.40000000000003,59.90000000000002,98.79999999999998,239.79999999999993,248.1,37.39999999999997,24.10000000000001,680.4999999999997,6.900000000000002
2024-01-13,31.333333333333353,223.66666666666669,248.0,272.6666666666665,86.33333333333337,92.33333333333337,57.33333333333335,96.33333333333331,237.99999999999991,246.33333333333331,36.3333333333333,23.333333333333343,666.6666666666663,6.333333333333336
2024-01-14,30.666666666666686,222.63333333333335,246.5,270.93333333333317,81.26666666666671,87.26666666666671,54.76666666666668,93.86666666666665,236.1999999999999,244.56666666666663,35.26666666666663,22.566666666666677,652.8333333333329,5.766666666666669
2024-01-15,30.000000000000018,221.60000000000002,245.0,269.1999999999998,76.20000000000005,82.20000000000005,52.20000000000001,91.39999999999998,234.3999999999999,242.79999999999995,34.19999999999996,21.80000000000001,638.9999999999995,5.200000000000003
2024-01-16,29.33333333333335,220.5666666666667,243.5,267.46666666666647,71.13333333333338,77.13333333333338,49.63333333333334,88.93333333333331,232.59999999999988,241.03333333333327,33.13333333333329,21.033333333333346,625.1666666666662,4.633333333333336
2024-01-17,28.666666666666682,219.53333333333336,242.0,265.7333333333331,66.06666666666672,72.06666666666672,47.06666666666667,86.46666666666664,230.79999999999987,239.2666666666666,32.06666666666662,20.26666666666668,611.3333333333328,4.06666666666667
2024-01-18,28.000000000000014,218.50000000000003,240.5,263.9999999999998,61.00000000000006,67.00000000000006,44.5,83.99999999999997,228.99999999999986,237.49999999999991,30.999999999999954,19.500000000000014,597.4999999999994,3.5000000000000036
2024-01-19,27.333333333333346,217.4666666666667,239.0,262.2666666666664,55.933333333333394,61.933333333333394,41.93333333333333,81.5333333333333,227.19999999999985,235.73333333333323,29.933333333333287,18.73333333333335,583.6666666666661,2.933333333333337
2024-01-20,26.66666666666668,216.43333333333337,237.5,260.5333333333331,550.8666666666667,556.8666666666667,39.36666666666666,79.06666666666663,225.39999999999984,233.96666666666655,28.86666666666662,17.966666666666683,569.8333333333327,2.3666666666666707
2024-01-21,26.00000000000001,215.40000000000003,236.0,258.7999999999997,545.8,551.8,36.79999999999999,76.59999999999997,223.59999999999982,232.19999999999987,27.799999999999955,17.200000000000017,555.9999999999993,1.800000000000004
2024-01-22,25.333333333333343,214.3666666666667,234.5,257.0666666666664,540.7333333333332,546.7333333333332,34.23333333333332,74.1333333333333,221.7999999999998,230.4333333333332,26.733333333333288,16.43333333333335,542.166666666666,1.2333333333333374
2024-01-23,24.666666666666675,213.33333333333337,233.0,255.33333333333306,535.6666666666665,541.6666666666665,31.666666666666654,71.66666666666663,219.9999999999998,228.66666666666652,25.66666666666662,15.666666666666684,528.3333333333326,0.6666666666666707
2024-01-24,24.000000000000007,212.30000000000004,231.5,253.59999999999974,530.5999999999998,536.5999999999998,29.099999999999987,69.19999999999996,218.1999999999998,226.89999999999984,24.599999999999955,14.900000000000016,514.4999999999992,0.10000000000000409
2024-01-25,23.33333333333334,211.2666666666667,230.0,251.86666666666642,525.5333333333331,531.5333333333331,26.53333333333332,66.73333333333329,216.39999999999978,225.13333333333316,23.53333333333329,14.133333333333349,500.6666666666659,0.0
2024-01-26,22.66666666666667,210.23333333333338,228.5,250.1333333333331,520.4666666666664,526.4666666666664,23.966666666666654,64.26666666666662,214.59999999999977,223.36666666666648,22.466666666666622,13.366666666666681,486.8333333333326,0.0
2024-01-27,22.000000000000004,209.20000000000005,227.0,248.39999999999978,515.3999999999996,521.3999999999996,21.399999999999988,61.799999999999955,212.79999999999976,221.5999999999998,21.399999999999956,12.600000000000014,472.99999999999926,0.0
2024-01-28,21.333333333333336,208.1666666666667,225.5,246.66666666666646,510.333333333333,516.3333333333329,18.83333333333332,59.333333333333286,210.99999999999974,219.83333333333312,20.33333333333329,11.833333333333346,459.16666666666595,0.0
2024-01-29,20.666666666666668,207.13333333333338,224.0,244.93333333333314,505.2666666666663,511.26666666666625,16.266666666666655,56.86666666666662,209.19999999999973,218.06666666666644,19.266666666666623,11.066666666666679,445.33333333333263,0.0
2024-01-30,20.0,206.10000000000005,222.5,243.19999999999982,500.19999999999965,506.1999999999996,13.699999999999989,54.39999999999995,207.39999999999972,216.29999999999976,18.199999999999957,10.300000000000011,431.4999999999993,0.0
2024-01-31,19.333333333333332,205.06666666666672,221.0,241.4666666666665,495.133333333333,501.1333333333329,11.133333333333322,51.93333333333328,205.5999999999997,214.53333333333308,17.13333333333329,9.533333333333344,417.666666666666,0.0
2024-02-01,18.666666666666664,204.0333333333334,219.5,239.73333333333318,490.0666666666663,496.06666666666626,8.566666666666656,49.46666666666661,203.7999999999997,212.7666666666664,16.066666666666624,8.766666666666676,403.8333333333327,0.0
2024-02-02,17.999999999999996,203.00000000000006,218.0,237.99999999999986,484.99999999999966,490.9999999999996,5.999999999999989,46.99999999999994,201.9999999999997,210.99999999999972,14.999999999999957,8.000000000000009,389.9999999999994,0.0
2024-02-03,17.33333333333333,201.96666666666673,216.5,236.26666666666654,479.933333333333,485.93333333333294,3.4333333333333225,44.533333333333275,200.19999999999968,209.23333333333304,13.933333333333291,7.233333333333342,376.16666666666606,0.0
2024-02-04,16.66666666666666,200.9333333333334,215.0,234.53333333333322,474.86666666666633,480.8666666666663,0.8666666666666556,42.066666666666606,198.39999999999966,207.46666666666636,12.866666666666625,6.466666666666676,362.33333333333275,0.0
2024-02-05,15.999999999999995,199.90000000000006,213.5,232.7999999999999,469.79999999999967,475.7999999999996,0.0,39.59999999999994,196.59999999999965,205.69999999999968,11.799999999999958,5.700000000000009,348.49999999999943,0.0
2024-02-06,15.333333333333329,198.86666666666673,212.0,231.06666666666658,464.733333333333,470.73333333333295,0.0,37.13333333333327,194.79999999999964,203.933333333333,10.733333333333292,4.9333333333333425,334.6666666666661,0.0
