Product Variant SKU,Total Quantity Sold,Cost,Price,ending_quantity,Daily Sales Rate,Days of Inventory,Total Cost,Gross Revenue,Target Sale Per Unit,Order Amount,Incoming order,Purchase Amount,Real Cost
B-BL,43,2.17,18.95,5.0,1.0,5.0,93.0,815.0,17.0,,0.0,29.0,63.0
B-BS,37,1.61,14.95,20.0,1.0,20.0,60.0,553.0,15.0,,0.0,10.0,16.0
B-NL,69,2.17,18.95,48.0,2.0,24.0,150.0,1308.0,28.0,,0.0,8.0,17.0
B-NS,44,1.61,14.95,366.0,1.0,366.0,71.0,658.0,18.0,,0.0,0.0,0.0
B-PL,41,2.17,18.95,104.0,1.0,104.0,89.0,777.0,16.0,,0.0,0.0,0.0
B-PS,55,1.61,14.95,226.0,2.0,113.0,89.0,822.0,22.0,,0.0,0.0,0.0
FB-NXL,2497,3.27,22.95,1275.0,83.0,15.0,8165.0,57306.0,999.0,500.0,500.0,223.0,729.0
FB-NL,681,1.58,18.95,286.0,23.0,12.0,1076.0,12905.0,272.0,,0.0,258.0,408.0
FB-NS,203,1.3,14.95,591.0,7.0,84.0,264.0,3035.0,81.0,,0.0,0.0,0.0
FB-PXL,2222,3.27,22.95,1239.0,74.0,17.0,7266.0,50995.0,889.0,500.0,500.0,39.0,128.0
FB-PL,767,1.58,18.95,106.0,26.0,4.0,1212.0,14535.0,307.0,200.0,200.0,308.0,487.0
FB-PS,300,1.3,14.95,479.0,10.0,48.0,390.0,4485.0,120.0,,0.0,0.0,0.0
FD-N,35,2.86,13.95,76.0,1.0,76.0,100.0,488.0,14.0,,0.0,0.0,0.0
FD-P,50,2.86,13.95,66.0,2.0,33.0,143.0,698.0,20.0,,0.0,0.0,0.0
FDN-N,444,2.33,16.95,35.0,15.0,2.0,1035.0,7526.0,178.0,250.0,250.0,71.0,165.0
FDN-P,412,2.33,16.95,41.0,14.0,3.0,960.0,6983.0,165.0,250.0,250.0,39.0,91.0
FS-NL,271,3.89,22.95,0.0,9.0,0.0,1054.0,6219.0,108.0,200.0,200.0,16.0,62.0
FS-NS,150,3.51,18.95,187.0,5.0,37.0,526.0,2842.0,60.0,,0.0,0.0,0.0
FS-PL,227,3.89,22.95,84.0,8.0,10.0,883.0,5210.0,91.0,150.0,150.0,0.0,0.0
FS-PS,256,3.51,18.95,8.0,9.0,1.0,899.0,4851.0,102.0,150.0,150.0,46.0,161.0
FBX-N,730,3.57,22.95,0.0,24.0,0.0,2606.0,16754.0,292.0,500.0,500.0,84.0,300.0
FBX-P,711,3.57,22.95,5.0,24.0,0.0,2538.0,16317.0,284.0,500.0,500.0,63.0,225.0
FST-C,413,2.7,18.95,343.0,14.0,24.0,1115.0,7826.0,165.0,200.0,200.0,0.0,0.0
FST-N,414,2.7,18.95,311.0,14.0,22.0,1118.0,7845.0,166.0,200.0,200.0,0.0,0.0
FL-C,166,,,44.0,6.0,7.0,,,66.0,150.0,150.0,0.0,
FL-N,238,3.65,22.95,0.0,8.0,0.0,869.0,5462.0,95.0,150.0,150.0,40.0,146.0
F-BE90,45,2.1,14.95,0.0,2.0,0.0,94.0,673.0,18.0,,0.0,36.0,76.0
F-CH90,70,2.1,14.95,3.0,2.0,2.0,147.0,1046.0,28.0,,0.0,53.0,111.0
F-DU90,60,2.1,14.95,12.0,2.0,6.0,126.0,897.0,24.0,,0.0,36.0,76.0
F-LI90,71,2.1,14.95,13.0,2.0,6.0,149.0,1061.0,28.0,,0.0,43.0,90.0
F-MX90,997,2.1,14.95,2.0,33.0,0.0,2094.0,14905.0,399.0,,0.0,796.0,1672.0
F-BE,0,1.8,12.95,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
F-CH,0,1.8,12.95,7.0,0.0,inf,0.0,0.0,0.0,,0.0,0.0,0.0
F-DU,0,1.8,12.95,19.0,0.0,inf,0.0,0.0,0.0,,0.0,0.0,0.0
F-LI,0,1.8,12.95,7.0,0.0,inf,0.0,0.0,0.0,,0.0,0.0,0.0
F-PB,199,1.8,12.95,12.0,7.0,2.0,358.0,2577.0,80.0,,0.0,148.0,266.0
