,B-BS,B-NL,FB-NXL,FB-NL,FB-NS,FB-PXL,FB-PL,FB-PS,FDN-P,F-BE90,F-CH90,F-LI90,F-MX90
2024-06-02,0,33.18082191780822,0.0,0.0,0.0,0.0,0.0,0.0,239.83013698630137,5.506849315068493,0.536986301369863,9.616438356164384,268.5041095890411
2024-06-03,0,32.361643835616434,0.0,0.0,0.0,0.0,0.0,0.0,235.66027397260274,5.013698630136986,0.07397260273972606,9.232876712328768,261.0082191780822
2024-06-04,0,31.542465753424654,0.0,0.0,0.0,0.0,0.0,0.0,231.4904109589041,4.520547945205479,0.0,8.849315068493151,253.51232876712328
2024-06-05,0,30.723287671232875,197.2164383561644,196.95068493150686,198.23013698630137,197.05753424657533,196.96164383561643,198.05753424657533,227.32054794520548,4.027397260273972,0.0,8.465753424657535,1246.0164383561644
2024-06-06,0,29.904109589041095,194.43287671232878,193.9013698630137,196.46027397260275,194.11506849315066,193.92328767123286,196.11506849315066,223.15068493150685,3.534246575342465,0.0,8.082191780821919,1238.5205479452054
2024-06-07,0,29.084931506849315,191.64931506849317,190.85205479452057,194.69041095890412,191.172602739726,190.88493150684928,194.172602739726,218.9808219178082,3.0410958904109577,0.0,7.698630136986303,1231.0246575342464
2024-06-08,0,28.265753424657536,188.86575342465756,187.80273972602743,192.9205479452055,188.23013698630132,187.8465753424657,192.23013698630132,214.81095890410958,2.5479452054794507,0.0,7.315068493150687,1223.5287671232875
2024-06-09,0,27.446575342465756,186.08219178082194,184.75342465753428,191.15068493150687,185.28767123287665,184.80821917808214,190.28767123287665,210.64109589041095,2.0547945205479436,0.0,6.93150684931507,1216.0328767123285
2024-06-10,0,26.627397260273977,183.29863013698633,181.70410958904114,189.38082191780825,182.34520547945198,181.76986301369857,188.34520547945198,206.47123287671232,1.5616438356164368,0.0,6.547945205479454,1208.5369863013696
2024-06-11,0,25.808219178082197,180.51506849315072,178.654794520548,187.61095890410962,179.4027397260273,178.731506849315,186.4027397260273,202.3013698630137,1.06849315068493,0.0,6.164383561643838,1201.0410958904106
2024-06-12,0,24.989041095890418,177.7315068493151,175.60547945205485,185.841095890411,176.46027397260264,175.69315068493142,184.46027397260264,198.13150684931506,0.5753424657534232,0.0,5.780821917808222,1193.5452054794516
2024-06-13,0,24.169863013698638,174.9479452054795,172.5561643835617,184.07123287671237,173.51780821917797,172.65479452054785,182.51780821917797,193.96164383561643,0.08219178082191636,0.0,5.397260273972606,1186.0493150684927
2024-06-14,0,23.35068493150686,172.1643835616439,169.50684931506856,182.30136986301375,170.5753424657533,169.61643835616428,180.5753424657533,189.7917808219178,0.0,0.0,5.0136986301369895,1178.5534246575337
2024-06-15,0,22.53150684931508,169.38082191780828,166.45753424657542,180.53150684931512,167.63287671232862,166.5780821917807,178.63287671232862,185.62191780821917,0.0,0.0,4.630136986301373,1171.0575342465747
2024-06-16,0,21.7123287671233,166.59726027397267,163.40821917808228,178.7616438356165,164.69041095890395,163.53972602739714,176.69041095890395,181.45205479452054,0.0,0.0,4.246575342465757,1163.5616438356158
2024-06-17,0,20.89315068493152,163.81369863013705,160.35890410958913,176.99178082191787,161.74794520547928,160.50136986301357,174.74794520547928,177.2821917808219,0.0,0.0,3.863013698630141,1156.0657534246568
2024-06-18,0,20.07397260273974,161.03013698630144,157.309589041096,175.22191780821925,158.8054794520546,157.46301369863,172.8054794520546,173.11232876712327,0.0,0.0,3.4794520547945247,1148.5698630136978
2024-06-19,0,19.25479452054796,158.24657534246583,154.26027397260285,173.45205479452062,155.86301369862994,154.42465753424642,170.86301369862994,168.94246575342464,0.0,0.0,3.0958904109589085,1141.0739726027389
2024-06-20,0,18.43561643835618,155.46301369863022,151.2109589041097,171.682191780822,152.92054794520527,151.38630136986285,168.92054794520527,164.772602739726,0.0,0.0,2.7123287671232923,1133.57808219178
2024-06-21,0,17.6164383561644,152.6794520547946,148.16164383561656,169.91232876712337,149.9780821917806,148.34794520547928,166.9780821917806,160.60273972602738,0.0,0.0,2.328767123287676,1126.082191780821
2024-06-22,0,16.797260273972622,149.895890410959,145.11232876712342,168.14246575342474,147.03561643835593,145.3095890410957,165.03561643835593,156.43287671232875,0.0,0.0,1.9452054794520597,1118.586301369862
2024-06-23,0,15.97808219178084,147.1123287671234,142.06301369863027,166.37260273972612,144.09315068493126,142.27123287671213,163.09315068493126,152.26301369863012,0.0,0.0,1.5616438356164433,1111.090410958903
2024-06-24,0,15.15890410958906,144.32876712328778,139.01369863013713,164.6027397260275,141.1506849315066,139.23287671232856,161.1506849315066,148.0931506849315,0.0,0.0,1.1780821917808268,1103.594520547944
2024-06-25,0,14.339726027397278,141.54520547945216,135.96438356164398,162.83287671232887,138.20821917808192,136.194520547945,159.20821917808192,143.92328767123286,0.0,0.0,0.7945205479452104,1096.098630136985
2024-06-26,0,13.520547945205497,138.76164383561655,132.91506849315084,161.06301369863024,135.26575342465725,133.15616438356142,157.26575342465725,139.75342465753423,0.0,0.0,0.410958904109594,1088.6027397260261
2024-06-27,0,12.701369863013715,135.97808219178094,129.8657534246577,159.29315068493162,132.32328767123258,130.11780821917785,155.32328767123258,135.5835616438356,0.0,0.0,0.027397260273977597,1081.1068493150672
2024-06-28,0,11.882191780821934,133.19452054794533,126.81643835616455,157.523287671233,129.3808219178079,127.07945205479429,153.3808219178079,131.41369863013696,0.0,0.0,0.0,1073.6109589041082
2024-06-29,0,11.063013698630153,130.41095890410972,123.76712328767141,155.75342465753437,126.43835616438325,124.04109589041073,151.43835616438324,127.24383561643833,0.0,0.0,0.0,1066.1150684931492
