,Product Variant SKU,Total Quantity Sold,Cost,Price,ending_quantity,Daily Sales Rate,Days of Inventory,Total Cost,Gross Revenue,Target Sale Per Unit,Order Date,Order Amount,Incoming order,Purchase Amount,Real Cost
0,B-BL,22,2.17,18.95,1000,0.7333333333333333,1363.6363636363637,48.0,417.0,27.0,,,0.0,0.0,0.0
1,B-BS,20,1.61,14.95,1000,0.6666666666666666,1500.0,32.0,299.0,24.0,,,0.0,0.0,0.0
2,B-NL,19,2.17,18.95,1000,0.6333333333333333,1578.9473684210527,41.0,360.0,23.0,,,0.0,0.0,0.0
3,B-NS,12,1.61,14.95,1000,0.4,2500.0,19.0,179.0,15.0,,,0.0,0.0,0.0
4,B-PL,13,2.17,18.95,1000,0.43333333333333335,2307.6923076923076,28.0,246.0,16.0,,,0.0,0.0,0.0
5,B-PS,18,1.61,14.95,1000,0.6,1666.6666666666667,29.0,269.0,22.0,,,0.0,0.0,0.0
6,FB-NXL,732,3.27,22.95,54,24.4,2.2131147540983607,2394.0,16799.0,892.0,2024-08-19,1500.0,1500.0,0.0,0.0
7,FB-NL,348,1.58,18.95,1000,11.6,86.20689655172414,550.0,6595.0,424.0,2024-08-19,300.0,300.0,0.0,0.0
8,FB-NS,149,1.3,14.95,1000,4.966666666666667,201.34228187919462,194.0,2228.0,182.0,2024-08-19,300.0,300.0,0.0,0.0
9,FB-PXL,966,3.27,22.95,1000,32.2,31.05590062111801,3159.0,22170.0,1177.0,2024-08-19,1500.0,1500.0,0.0,0.0
10,FB-PL,305,1.58,18.95,1000,10.166666666666666,98.36065573770492,482.0,5780.0,372.0,2024-08-19,300.0,300.0,0.0,0.0
11,FB-PS,173,1.3,14.95,1000,5.766666666666667,173.41040462427745,225.0,2586.0,211.0,2024-08-19,300.0,300.0,0.0,0.0
12,FD-N,20,2.86,13.95,1000,0.6666666666666666,1500.0,57.0,279.0,24.0,,,0.0,0.0,0.0
13,FD-P,20,2.86,13.95,1000,0.6666666666666666,1500.0,57.0,279.0,24.0,,,0.0,0.0,0.0
14,FDN-N,175,2.33,16.95,1000,5.833333333333333,171.42857142857144,408.0,2966.0,213.0,2024-09-01,200.0,200.0,0.0,0.0
15,FDN-P,208,2.33,16.95,1000,6.933333333333334,144.23076923076923,485.0,3526.0,253.0,2024-09-01,200.0,200.0,0.0,0.0
16,FS-NL,62,3.89,22.95,1000,2.066666666666667,483.87096774193543,241.0,1423.0,76.0,,,0.0,0.0,0.0
17,FS-NS,74,3.51,18.95,1000,2.466666666666667,405.40540540540536,260.0,1402.0,90.0,,,0.0,0.0,0.0
18,FS-PL,62,3.89,22.95,1000,2.066666666666667,483.87096774193543,241.0,1423.0,76.0,,,0.0,0.0,0.0
19,FS-PS,57,3.51,18.95,1000,1.9,526.3157894736843,200.0,1080.0,69.0,,,0.0,0.0,0.0
20,FBX-N,254,3.57,22.95,1000,8.466666666666667,118.11023622047244,907.0,5829.0,310.0,2024-08-19,500.0,500.0,0.0,0.0
21,FBX-P,303,3.57,22.95,1000,10.1,99.00990099009901,1082.0,6954.0,369.0,2024-08-19,500.0,500.0,0.0,0.0
22,FST-C,146,2.7,18.95,1000,4.866666666666666,205.47945205479454,394.0,2767.0,178.0,2024-08-19,600.0,600.0,0.0,0.0
23,FST-N,168,2.7,18.95,1000,5.6,178.57142857142858,454.0,3184.0,205.0,2024-08-19,600.0,600.0,0.0,0.0
24,F-BE90,55,2.1,14.95,0,1.8333333333333333,0.0,116.0,822.0,67.0,2024-09-01,200.0,200.0,0.0,0.0
25,F-CH90,60,2.1,14.95,50,2.0,25.0,126.0,897.0,73.0,2024-09-01,200.0,200.0,0.0,0.0
26,F-DU90,58,2.1,14.95,1,1.9333333333333333,0.5172413793103449,122.0,867.0,71.0,2024-09-01,200.0,200.0,0.0,0.0
27,F-LI90,37,2.1,14.95,0,1.2333333333333334,0.0,78.0,553.0,45.0,2024-09-01,200.0,200.0,0.0,0.0
28,F-MX90,309,2.1,14.95,837,10.3,81.26213592233009,649.0,4620.0,377.0,2024-09-01,2400.0,2400.0,0.0,0.0
29,F-BE,20,1.8,12.95,1000,0.6666666666666666,1500.0,36.0,259.0,24.0,,,0.0,0.0,0.0
30,F-CH,13,1.8,12.95,1000,0.43333333333333335,2307.6923076923076,23.0,168.0,16.0,,,0.0,0.0,0.0
31,F-DU,14,1.8,12.95,1000,0.4666666666666667,2142.8571428571427,25.0,181.0,17.0,,,0.0,0.0,0.0
32,F-LI,0,1.8,12.95,1000,0.0,inf,0.0,0.0,0.0,,,0.0,0.0,0.0
33,F-MX,32,1.8,12.95,0,1.0666666666666667,0.0,58.0,414.0,39.0,,,0.0,39.0,70.0
34,F-PB,51,1.8,12.95,290,1.7,170.58823529411765,92.0,660.0,62.0,,,0.0,0.0,0.0
