,B-BL,FB-NXL,FB-NL,FB-PXL,FB-PL,FB-PS,FDN-N,FDN-P,FS-NL,FBX-N,FBX-P,FST-C,FST-N,F-BE90,F-CH90,F-DU90,F-LI90,F-MX90,F-BE,F-CH,F-DU
2024-08-22,40.28888888888889,547.0,1014.6333333333333,3.6111111111111143,758.0888888888888,789.6111111111111,0.0,0.0,214.27777777777777,237.4111111111111,82.57777777777778,288.3666666666667,409.06666666666666,34.7,16.844444444444445,8.833333333333334,21.155555555555555,64.0,0,6.633333333333334,18.72222222222222
2024-08-23,39.57777777777778,520.0,999.2666666666667,0.0,742.1777777777777,780.2222222222222,0.0,0.0,211.55555555555554,228.8222222222222,73.15555555555557,281.73333333333335,402.1333333333333,33.400000000000006,15.68888888888889,7.666666666666667,20.31111111111111,37.0,0,6.2666666666666675,18.444444444444443
2024-08-24,38.866666666666674,493.0,983.9,0.0,726.2666666666665,770.8333333333333,0.0,0.0,208.83333333333331,220.2333333333333,63.73333333333334,275.1,395.2,32.10000000000001,14.533333333333335,6.5,19.466666666666665,10.0,0,5.900000000000001,18.166666666666664
2024-08-25,38.155555555555566,466.0,968.5333333333333,0.0,710.3555555555554,761.4444444444443,0.0,0.0,206.1111111111111,211.6444444444444,54.31111111111112,268.4666666666667,388.26666666666665,30.800000000000008,13.37777777777778,5.333333333333333,18.62222222222222,0.0,0,5.533333333333335,17.888888888888886
2024-08-26,37.44444444444446,439.0,953.1666666666666,0.0,694.4444444444442,752.0555555555554,0.0,0.0,203.38888888888886,203.0555555555555,44.88888888888889,261.83333333333337,381.3333333333333,29.500000000000007,12.222222222222225,4.166666666666666,17.777777777777775,0.0,0,5.166666666666669,17.611111111111107
2024-08-27,36.73333333333335,412.0,937.8,0.0,678.5333333333331,742.6666666666665,0.0,0.0,200.66666666666663,194.46666666666658,35.46666666666667,255.20000000000005,374.4,28.200000000000006,11.06666666666667,2.999999999999999,16.93333333333333,0.0,0,4.8000000000000025,17.33333333333333
2024-08-28,36.02222222222224,385.0,922.4333333333333,0.0,662.6222222222219,733.2777777777776,0.0,0.0,197.9444444444444,185.87777777777768,26.044444444444444,248.56666666666672,367.46666666666664,26.900000000000006,9.911111111111115,1.8333333333333324,16.088888888888885,0.0,0,4.433333333333336,17.05555555555555
2024-08-29,35.31111111111113,358.0,907.0666666666666,0.0,646.7111111111108,723.8888888888887,0.0,0.0,195.22222222222217,177.28888888888878,16.62222222222222,241.9333333333334,360.5333333333333,25.600000000000005,8.75555555555556,0.6666666666666656,15.24444444444444,0.0,0,4.06666666666667,16.77777777777777
2024-08-30,34.60000000000002,331.0,891.6999999999999,0.0,630.7999999999996,714.4999999999998,0.0,0.0,192.49999999999994,168.69999999999987,7.1999999999999975,235.30000000000007,353.59999999999997,24.300000000000004,7.600000000000005,0.0,14.399999999999995,0.0,0,3.7000000000000033,16.499999999999993
2024-08-31,33.888888888888914,304.0,876.3333333333333,0.0,614.8888888888885,705.1111111111109,0.0,0.0,189.77777777777771,160.11111111111097,0.0,228.66666666666674,346.66666666666663,23.000000000000004,6.44444444444445,0.0,13.55555555555555,0.0,0,3.3333333333333366,16.222222222222214
